symbol,stage,detail
ABSMARINE,S0_series,SM
ACCENTMIC,S0_series,SM
AKIKO,S0_series,SM
AKSHARCHEM,S0_series,BE
ANANDRATHI,S1_base_short,base 10d — rolling high
ARIES,S1_red_close,-2.62% on the day
ARROWGREEN,S0_series,BE
ARTEMISMED,S1_base_short,base 3d — rolling high
ASHUTOSH,S0_series,ST
AVALON,S1_off_high,closed 3.3% off day high
BALAMINES,S1_base_short,base 3d — rolling high
BHAGERIA,S0_series,BE
BIRLACABLE,S1_red_close,-4.99% on the day
BIRLAPREC,S1_red_close,-0.12% on the day
BLISSGVS,S0_series,BE
BODALCHEM,S1_base_short,base 3d — rolling high
BOSCH-HCIL,S1_base_short,base 3d — rolling high
BOSS,S0_series,SM
BURNPUR,S1_red_close,-4.96% on the day
CGCL,S1_red_close,-2.18% on the day
CINELINE,S1_off_high,closed 5.7% off day high
CUB,S1_off_high,closed 4.5% off day high
CURIS,S0_series,SM
CYBERMEDIA,S1_off_high,closed 8.5% off day high
DAICHI,S0_series,BE
DEEPINDS,S1_red_close,-0.18% on the day
DHATRE,S1_off_high,closed 10.6% off day high
DOLPHIN,S1_off_high,closed 3.2% off day high
DPEL,S0_series,SM
DSKULKARNI,S0_series,BE
E2ERAIL,S0_series,SM
ELANTAS,S1_off_high,closed 5.5% off day high
ELGIEQUIP,S1_base_short,base 3d — rolling high
ENERGYAXIS,S0_fund,ETF/index fund
ENTERO,S1_base_short,base 3d — rolling high
ESDS,S1_base_short,base 3d — rolling high
FCL,S1_base_short,base 7d — rolling high
GCSL,S1_base_short,base 3d — rolling high
GFSTEELS,S0_series,BE
GILT10BETA,S0_fund,ETF/index fund
GILT5BETA,S0_fund,ETF/index fund
GKSL,S1_base_short,base 4d — rolling high
GUFICBIO,S1_off_high,closed 4.5% off day high
HALDYNGL,S0_series,BE
HINDOILEXP,S1_off_high,closed 3.1% off day high
ICDSLTD,S1_red_close,-6.23% on the day
IGPL,S1_red_close,-0.89% on the day
IMPEXFERRO,S0_series,BZ
INDOBORAX,S1_red_close,-1.74% on the day
INDORAMA,S1_off_high,closed 6.4% off day high
INFINIUM,S0_series,SM
IOLCP,S1_base_short,base 3d — rolling high
IRISDOREME,S1_red_close,-2.82% on the day
JINDWORLD,S1_off_high,closed 5.6% off day high
KANCOTEA,S1_off_high,closed 3.9% off day high
KATARIA,S0_series,SM
KOPRAN,S1_off_high,closed 3.2% off day high
KSHINTL,S1_base_short,base 3d — rolling high
LALITHAA,S1_base_short,base 3d — rolling high
LANCORHOL,S1_red_close,-1.12% on the day
LENSKART,S1_base_short,base 3d — rolling high
LIQGRWBEES,S0_fund,ETF/index fund
LIQUIDBETA,S0_fund,ETF/index fund
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
MAFANG,S0_fund,ETF/index fund
MAHSEAMLES,S1_off_high,closed 4.0% off day high
MANINDS,S1_base_short,base 3d — rolling high
MASPTOP50,S0_fund,ETF/index fund
MBECL,S0_series,BE
MENONBE,S0_series,BE
MILKYMIST,S1_base_short,base 4d — rolling high
MINALIND,S0_series,BE
MONOLITH,S0_series,SM
MONQ50,S0_fund,ETF/index fund
MOREPENLAB,S1_base_short,base 4d — rolling high
MOTOGENFIN,S1_off_high,closed 8.4% off day high
MSTCLTD,S1_base_short,base 7d — rolling high
MUKKA,S1_off_high,closed 3.7% off day high
MVELECTRO,S1_base_short,base 7d — rolling high
NIACL,S1_red_close,-0.30% on the day
NIF500BETA,S0_fund,ETF/index fund
NIFTYJBLK,S0_fund,ETF/index fund
NRAIL,S1_off_high,closed 5.7% off day high
NRL,S0_series,BE
OAL,S1_base_short,base 3d — rolling high
ONIXSOLAR,S1_base_short,base 3d — rolling high
ORIENTBELL,S1_red_close,-1.69% on the day
PATILAUTOM,S0_series,SM
PERNIASPOP,S1_off_high,closed 3.5% off day high
PITTIENG,S1_off_high,closed 4.1% off day high
PRIORITY,S0_series,BE
QMSMEDI,S0_series,BE
QPOWER,S1_red_close,-0.70% on the day
RAMBHAJO,S1_off_high,closed 5.2% off day high
RATNAVEER,S1_off_high,closed 3.5% off day high
RAYMOND,S1_base_short,base 4d — rolling high
RBLBANK,S1_base_short,base 3d — rolling high
