symbol,stage,detail
ACCENTMIC,S0_series,SM
ACCPL,S0_series,ST
AIMTRON,S0_series,SM
AJANTPHARM,S1_base_short,base 3d — rolling high
AKANKSHA,S0_series,SM
ALPHAETF,S0_fund,ETF/index fund
ALPHAGEO,S1_base_short,base 5d — rolling high
ANAWIL,S0_series,ST
ANTHEM,S1_base_short,base 6d — rolling high
AVADHSUGAR,S1_base_short,base 4d — rolling high
AVALON,S1_base_short,base 7d — rolling high
AVATAR,S0_series,ST
AVTNPL,S1_base_short,base 3d — rolling high
AZAD,S1_off_high,closed 3.8% off day high
BBTCL,S1_red_close,-4.15% on the day
BI,S1_base_short,base 3d — rolling high
BIKEWO,S0_series,ST
BOSCHLTD,S1_red_close,-0.28% on the day
CNL,S1_base_short,base 3d — rolling high
COMSYN,S1_red_close,-2.79% on the day
CYIENTDLM,S1_base_short,base 4d — rolling high
DALMIASUG,S1_base_short,base 3d — rolling high
DECNGOLD,S1_base_short,base 3d — rolling high
DEFENCE,S0_fund,ETF/index fund
DHAMPURSUG,S1_base_short,base 3d — rolling high
DHOOTTRANS,S1_red_close,-1.41% on the day
DICIND,S1_off_high,closed 5.6% off day high
DOLPHIN,S1_base_short,base 4d — rolling high
DSKULKARNI,S0_series,BE
E2E,S0_series,BE
EBBETF0430,S0_fund,ETF/index fund
ELIQUID,S0_fund,ETF/index fund
GALAXYSURF,S1_red_close,-4.92% on the day
GFSTEELS,S0_series,BE
GILT5BETA,S0_fund,ETF/index fund
GSEC10IETF,S0_fund,ETF/index fund
HAL,S1_base_short,base 5d — rolling high
HALDER,S1_red_close,-3.91% on the day
HAPPYFORGE,S1_base_short,base 3d — rolling high
HITECHCORP,S0_series,BE
HNDFDS,S1_base_short,base 3d — rolling high
HONASA,S1_red_close,-4.53% on the day
IL&FSENGG,S0_series,BZ
IMPEXFERRO,S0_series,BZ
INVPRECQ,S0_series,BE
IPCALAB,S1_off_high,closed 3.6% off day high
IRISDOREME,S1_base_short,base 3d — rolling high
JUNIORBEES,S0_fund,ETF/index fund
KABRAEXTRU,S1_base_short,base 6d — rolling high
KANPRPLA,S1_off_high,closed 3.7% off day high
KEI,S1_base_short,base 4d — rolling high
KMEW,S1_red_close,-0.21% on the day
KPL,S1_off_high,closed 3.3% off day high
KRISHANA,S1_red_close,-2.06% on the day
KRN,S1_base_short,base 3d — rolling high
LGEINDIA,S1_red_close,-3.83% on the day
LIQUIDBETA,S0_fund,ETF/index fund
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
LMW,S1_base_short,base 3d — rolling high
LOKESHMACH,S0_series,BE
LTGILTCASE,S0_fund,ETF/index fund
MAFANG,S0_fund,ETF/index fund
MAHASTEEL,S0_series,BE
MANIPALHOS,S1_base_short,base 6d — rolling high
MANORAMA,S1_off_high,closed 4.3% off day high
MARKSANS,S1_red_close,-0.75% on the day
MBAPL,S1_red_close,-2.58% on the day
METALIC,S0_series,SM
METROGLOBL,S0_turnover,Rs 1.8 cr
