symbol,stage,detail
3BBLACKBIO,S1_red_close,-2.93% on the day
AKSHARCHEM,S0_series,BE
ALUFLUOR,S1_base_short,base 1d — rolling high
ANNU,S0_series,BE
ANTHEM,S1_base_short,base 6d — rolling high
AYMSYNTEX,S1_base_short,base 1d — rolling high
BALAMINES,S1_red_close,-1.17% on the day
BHAGERIA,S0_series,BE
BIRLACABLE,S0_series,BE
BLISSGVS,S0_series,BE
BLUEWATER,S0_series,ST
BODALCHEM,S1_off_high,closed 5.5% off day high
CALSOFT,S1_base_short,base 1d — rolling high
COMSYN,S1_red_close,-1.84% on the day
CORDSCABLE,S1_off_high,closed 4.4% off day high
CURIS,S0_series,SM
DSKULKARNI,S0_series,BE
E2ERAIL,S0_series,SM
EBBETF0433,S0_fund,ETF/index fund
ELIQUID,S0_fund,ETF/index fund
FORCAS,S0_series,ST
FRESHARA,S0_series,ST
GCSL,S1_base_short,base 1d — rolling high
GHCLTEXTIL,S1_red_close,-0.36% on the day
GIPCL,S1_base_short,base 2d — rolling high
GKSL,S1_base_short,base 1d — rolling high
GUFICBIO,S1_off_high,closed 3.1% off day high
GYFTR,S1_off_high,closed 3.5% off day high
HALDYNGL,S0_series,BE
HATSUN,S1_red_close,-0.48% on the day
HOACFOODS,S0_series,ST
HTEL,S0_series,BE
IMPEXFERRO,S0_series,BZ
INGERRAND,S1_base_short,base 2d — rolling high
IPCALAB,S1_red_close,-1.60% on the day
IVC,S1_off_high,closed 5.4% off day high
IVP,S0_series,BE
IVZBANKNF,S0_fund,ETF/index fund
JTLIND,S1_base_short,base 2d — rolling high
KALYANIFRG,S1_base_short,base 1d — rolling high
KHAITANLTD,S0_turnover,Rs 0.3 cr
KODYTECH,S0_series,ST
KSHITIJ-RE,S0_series,BE
LENSKART,S1_base_short,base 2d — rolling high
LIQGRWBEES,S0_fund,ETF/index fund
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
MANAKSTEEL,S1_base_short,base 1d — rolling high
MANGLMCEM,S1_base_short,base 1d — rolling high
MARINE,S1_base_short,base 1d — rolling high
MBECL,S0_series,BE
MIDQ50ADD,S0_fund,ETF/index fund
MILKYMIST,S1_base_short,base 6d — rolling high
MINALIND,S0_series,BE
MODISONLTD,S1_off_high,closed 4.6% off day high
MONOLITH,S0_series,SM
MOREPENLAB,S1_base_short,base 1d — rolling high
PAR,S1_base_short,base 1d — rolling high
PARNAXLAB,S1_red_close,-4.79% on the day
PARTH,S0_series,SM
PATILAUTOM,S0_series,SM
PCCL,S0_series,SM
PHARMABEES,S0_fund,ETF/index fund
PTCIL,S1_base_short,base 1d — rolling high
QLINE,S0_series,SM
RBZJEWEL,S1_red_close,-4.14% on the day
SAHLIBHFI,S1_off_high,closed 4.0% off day high
SAILIFE,S1_base_short,base 1d — rolling high
SAKAR,S1_off_high,closed 3.3% off day high
SALSTEEL,S1_red_close,-3.07% on the day
SETL,S1_red_close,-2.65% on the day
SHETHJI,S0_series,SM
SHIVAUM,S0_turnover,Rs 4.7 cr
SHUKRAPHAR,S1_base_short,base 2d — rolling high
SILKFLEX,S0_series,SM
SKFINDUS,S1_base_short,base 1d — rolling high
SOMANYCERA,S1_base_short,base 2d — rolling high
SRIKPRIND,S0_turnover,Rs 0.6 cr
SUDEEPPHRM,S1_off_high,closed 4.1% off day high
SUMAX,S0_series,ST
SUNSHINE,S1_red_close,-2.36% on the day
SUPTANERY,S0_series,BE
SYNCOMF,S1_base_short,base 5d — rolling high
TANKUP,S0_series,ST
TAURIAN,S0_series,ST
TBZ,S1_off_high,closed 3.7% off day high
TFCILTD,S1_base_short,base 6d — rolling high
TIJARIA,S0_turnover,Rs 0.8 cr
TNPETRO,S1_base_short,base 1d — rolling high
UFLEX,S1_off_high,closed 3.7% off day high
VIESL,S0_series,SM
VINDHYATEL,S1_base_short,base 1d — rolling high
WELCORP,S1_red_close,-1.16% on the day
WELENT,S1_base_short,base 1d — rolling high
WINDLAS,S1_base_short,base 9d — rolling high
XTRANET,S1_off_high,closed 6.9% off day high
ZIMLAB,S1_off_high,closed 3.1% off day high
INDOCO,S1_off_high,closed 5.1% off day high
NICCOPAR,S0_turnover,Rs 3.2 cr
SBIETFCON,S0_fund,ETF/index fund
MOMNC,S0_fund,ETF/index fund
GKWLIMITED,S0_turnover,Rs 4.0 cr
XPROINDIA,S1_off_high,closed 3.9% off day high
NIFTYAXIS,S0_fund,ETF/index fund
BALAXI,S0_turnover,Rs 0.8 cr
ICDSLTD,S0_turnover,Rs 0.7 cr
APOORVA,S0_turnover,Rs 0.0 cr
MALLCOM,S0_turnover,Rs 4.4 cr
ABSLBANETF,S0_fund,ETF/index fund
LAKSHMIMIL,S0_turnover,Rs 0.2 cr
THAKDEV,S0_turnover,Rs 0.0 cr
AKI,S0_turnover,Rs 1.6 cr
BATLIBOI,S0_turnover,Rs 1.1 cr
NIRAJISPAT,S0_turnover,Rs 0.0 cr
BESTAGRO,S0_turnover,Rs 4.1 cr
DAICHI,S2_data,DATA UNAVAILABLE (12 bars)
CENTENKA,S2_no_new_high,day high 624.80 < 52w high 671.65
EMSLIMITED,S1_off_high,closed 5.5% off day high
HERITGFOOD,S2_no_new_high,day high 384.80 < 52w high 540.00
EXPLEOSOL,S1_off_high,closed 3.9% off day high
GPTINFRA,S1_off_high,closed 7.1% off day high
MAITHANALL,S1_off_high,closed 3.5% off day high
AUGMONT,S2_data,DATA UNAVAILABLE (3 bars)
