symbol,stage,detail
3BBLACKBIO,S1_off_high,closed 3.5% off day high
ADOR,S1_off_high,closed 3.8% off day high
AKIKO,S0_series,SM
AKUMS,S1_base_short,base 6d — rolling high
ALBERTDAVD,S1_base_short,base 3d — rolling high
ALIVUS,S1_off_high,closed 6.3% off day high
ALUFLUOR,S1_base_short,base 3d — rolling high
ARHAM,S0_series,SM
ASIANTNE,S1_red_close,-4.68% on the day
ATHERENERG,S1_base_short,base 3d — rolling high
AUGMONT,S1_red_close,-5.93% on the day
AYMSYNTEX,S1_off_high,closed 4.1% off day high
BAFNAPH,S0_series,BE
BAJAJ-AUTO,S1_base_short,base 3d — rolling high
BHAGERIA,S0_series,BE
BIRLACABLE,S0_series,BE
BLISSGVS,S0_series,BE
BLSE,S1_base_short,base 3d — rolling high
BODALCHEM,S1_base_short,base 3d — rolling high
BOSCHLTD,S1_base_short,base 5d — rolling high
CALSOFT,S1_base_short,base 3d — rolling high
CNL,S1_off_high,closed 3.6% off day high
COFORGE,S1_red_close,-1.45% on the day
CORDSCABLE,S1_off_high,closed 6.1% off day high
CRAFTSMAN,S1_base_short,base 3d — rolling high
CYIENTDLM,S1_base_short,base 3d — rolling high
DIVISLAB,S1_base_short,base 3d — rolling high
DYCL,S1_base_short,base 3d — rolling high
ELIQUID,S0_fund,ETF/index fund
ENEXT50,S0_fund,ETF/index fund
ENTERO,S1_red_close,-0.46% on the day
ETL,S0_series,SM
FCL,S1_base_short,base 7d — rolling high
FMGOETZE,S1_base_short,base 3d — rolling high
FORCAS,S0_series,ST
FRESHARA,S0_series,ST
GATECH,S0_series,BE
GCSL,S1_base_short,base 4d — rolling high
GFSTEELS,S0_series,BE
GHCLTEXTIL,S1_base_short,base 3d — rolling high
GIPCL,S1_red_close,-3.74% on the day
GKSL,S1_red_close,-1.13% on the day
GYFTR,S1_off_high,closed 3.7% off day high
HALDYNGL,S0_series,BE
HATSUN,S1_base_short,base 3d — rolling high
HBPOR,S1_red_close,-1.28% on the day
HEALTHCARE,S0_fund,ETF/index fund
HFCL,S1_red_close,-1.02% on the day
HOACFOODS,S0_series,ST
IGPL,S1_base_short,base 4d — rolling high
IMPEXFERRO,S0_series,BZ
INGERRAND,S1_red_close,-0.21% on the day
IOLCP,S1_red_close,-0.49% on the day
IPRINGLTD,S0_turnover,Rs 0.2 cr
IVP,S0_series,BE
JTLIND,S1_red_close,-0.60% on the day
KAMDHENU,S0_series,BE
KODYTECH,S0_series,ST
KOPRAN,S1_off_high,closed 7.3% off day high
KRN,S1_red_close,-3.15% on the day
KSHITIJ-RE,S0_series,BE
KTKBANK,S1_base_short,base 5d — rolling high
LANCER,S0_turnover,Rs 4.3 cr
LAURUSLABS,S1_red_close,-1.21% on the day
LEAPIND,S1_red_close,-0.48% on the day
LENSKART,S1_base_short,base 7d — rolling high
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
LOKESHMACH,S1_off_high,closed 8.7% off day high
LOTUSCHO,S1_off_high,closed 3.2% off day high
MAHASTEEL,S0_series,BE
MANAKSTEEL,S1_base_short,base 3d — rolling high
MANGLMCEM,S1_base_short,base 4d — rolling high
MIDBANKADD,S0_fund,ETF/index fund
MIDSMALL,S0_fund,ETF/index fund
MINALIND,S0_series,BE
MODISONLTD,S1_base_short,base 5d — rolling high
MOHEALTH,S0_fund,ETF/index fund
MOHITE,S1_off_high,closed 3.0% off day high
MOMENTUM50,S0_fund,ETF/index fund
MOMETAL,S0_fund,ETF/index fund
MONOLITH,S0_series,SM
MOREPENLAB,S1_base_short,base 3d — rolling high
MSTCLTD,S1_base_short,base 5d — rolling high
MVELECTRO,S1_off_high,closed 4.4% off day high
NEAGI,S1_base_short,base 5d — rolling high
NIF500BETA,S0_fund,ETF/index fund
NIFTYCASE,S0_fund,ETF/index fund
OFSS,S1_base_short,base 3d — rolling high
PARNAXLAB,S1_off_high,closed 4.3% off day high
PCCL,S0_series,SM
PHARMABEES,S0_fund,ETF/index fund
PIRAMALFIN,S1_base_short,base 3d — rolling high
PRECWIRE,S1_red_close,-0.17% on the day
PRUDENT,S1_off_high,closed 12.3% off day high
PTCIL,S1_red_close,-0.95% on the day
PVP,S1_base_short,base 3d — rolling high
QLINE,S0_series,SM
QMSMEDI,S0_series,BE
QPOWER,S1_off_high,closed 3.8% off day high
QUESS,S1_base_short,base 5d — rolling high
