symbol,stage,detail
ABGSEC,S0_fund,ETF/index fund
ADDIND,S1_red_close,-3.33% on the day
AKANKSHA,S0_series,SM
AKIKO,S0_series,SM
AKSHARCHEM,S0_series,BE
ALPHA,S0_fund,ETF/index fund
ALPHAETF,S0_fund,ETF/index fund
ALUFLUOR,S1_off_high,closed 4.3% off day high
ANDREWYU,S0_turnover,Rs 2.7 cr
ANTHEM,S1_base_short,base 9d — rolling high
ARHAM,S0_series,SM
ARIES,S1_off_high,closed 4.6% off day high
BAHETI,S0_series,SM
BODALCHEM,S0_series,BE
BOSCHLTD,S1_base_short,base 7d — rolling high
CALSOFT,S1_base_short,base 1d — rolling high
CFEL,S1_off_high,closed 7.0% off day high
CLSL,S0_series,ST
CORDELIA,S1_base_short,base 1d — rolling high
CYIENTDLM,S1_base_short,base 1d — rolling high
DCBBANK,S1_base_short,base 1d — rolling high
DHOOTTRANS,S1_off_high,closed 5.8% off day high
DIVISLAB,S1_base_short,base 1d — rolling high
DSKULKARNI,S0_series,BE
EASTWEST,S1_off_high,closed 4.5% off day high
EBIX,S1_red_close,-1.24% on the day
ELIQUID,S0_fund,ETF/index fund
ESAFSFB,S0_series,BE
FMGOETZE,S1_off_high,closed 3.1% off day high
FRESHARA,S0_series,ST
GAJA,S1_red_close,-8.00% on the day
GATECH,S0_series,BE
GOKULAGRO,S1_red_close,-3.50% on the day
GROWWLIQID,S0_fund,ETF/index fund
GYFTR,S1_off_high,closed 3.7% off day high
HAMPTON,S1_off_high,closed 11.3% off day high
IDEA,S1_red_close,-0.86% on the day
IMPEXFERRO,S0_series,BZ
INDSWFTLAB,S1_base_short,base 8d — rolling high
IPCALAB,S1_base_short,base 1d — rolling high
IPRINGLTD,S1_off_high,closed 3.5% off day high
IVZBANKNF,S0_fund,ETF/index fund
IVZSENSEX,S0_fund,ETF/index fund
JAYSREETEA,S1_red_close,-4.61% on the day
JINDALSAW,S1_base_short,base 5d — rolling high
JYOTIRES,S1_base_short,base 9d — rolling high
KANCOTEA,S1_red_close,-0.18% on the day
KENNAMET,S1_base_short,base 2d — rolling high
KRISHANA,S1_base_short,base 1d — rolling high
KTKBANK,S1_base_short,base 5d — rolling high
LADDERUP,S1_base_short,base 9d — rolling high
LAMOSAIC,S0_series,ST
LANCER,S1_base_short,base 1d — rolling high
LCL,S1_base_short,base 1d — rolling high
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
MAHASTEEL,S0_series,BE
MANIPALHOS,S1_base_short,base 1d — rolling high
MARC,S0_series,SM
MAXESTATES,S1_base_short,base 1d — rolling high
MIDSELIETF,S0_fund,ETF/index fund
MILKYMIST,S1_base_short,base 6d — rolling high
MINALIND,S0_series,BE
MKEXIM,S1_off_high,closed 3.1% off day high
MODISONLTD,S0_series,BE
MOLBIO,S1_base_short,base 1d — rolling high
MOMETAL,S0_fund,ETF/index fund
MONOLITH,S0_series,SM
NEAGI,S1_base_short,base 1d — rolling high
NICCOPAR,S1_base_short,base 1d — rolling high
NILKAMAL,S1_base_short,base 7d — rolling high
NITINSPIN,S1_off_high,closed 3.4% off day high
ONDOOR,S0_series,SM
OPTIFIN,S1_red_close,-4.82% on the day
ORIRAIL,S1_red_close,-0.59% on the day
