symbol,stage,detail
AAREYDRUGS,S1_red_close,-4.99% on the day
ACCENTMIC,S0_series,SM
ACSTECH,S0_series,BE
AKIKO,S0_series,SM
AKSHOPTFBR,S0_series,BE
ARTEMISMED,S1_red_close,-2.06% on the day
ASHUTOSH,S0_series,ST
AUSTENG,S0_turnover,Rs 0.1 cr
BALPHARMA,S1_red_close,-7.82% on the day
BENARAS,S1_base_short,base 1d — rolling high
BIL,S1_red_close,-2.73% on the day
CFEL,S0_turnover,Rs 4.8 cr
CHENNPETRO,S1_base_short,base 1d — rolling high
CRAFTSMAN,S1_base_short,base 1d — rolling high
CURIS,S0_series,SM
DCG,S0_series,SM
DEEP,S0_turnover,Rs 0.9 cr
DIGJAMLMTD,S0_turnover,Rs 4.5 cr
DPEL,S0_series,SM
DSKULKARNI,S0_series,BE
EBGNG,S1_off_high,closed 3.2% off day high
EDELWEISS,S1_off_high,closed 3.1% off day high
ESDS,S1_base_short,base 1d — rolling high
FINCABLES,S1_base_short,base 1d — rolling high
FLYSBS,S0_series,SM
FRESHARA,S0_series,ST
GCSL,S1_base_short,base 3d — rolling high
GFSTEELS,S1_base_short,base 1d — rolling high
GLOBALPET,S0_series,SM
HTEL,S0_series,BE
IL&FSENGG,S0_series,BZ
IMPEXFERRO,S0_series,BZ
INDNIPPON,S1_off_high,closed 14.3% off day high
INDOMIM,S1_base_short,base 1d — rolling high
INDORAMA,S1_red_close,-3.40% on the day
INOXINDIA,S1_base_short,base 6d — rolling high
JAYAGROGN,S1_red_close,-1.52% on the day
JINDALSAW,S1_base_short,base 9d — rolling high
JINDRILL,S1_red_close,-2.84% on the day
KABRAEXTRU,S1_base_short,base 1d — rolling high
KANORICHEM,S0_series,BE
KENNAMET,S1_base_short,base 1d — rolling high
KROSS,S1_off_high,closed 3.2% off day high
KSR,S1_base_short,base 1d — rolling high
LADDERUP,S0_turnover,Rs 0.1 cr
LALITHAA,S1_base_short,base 1d — rolling high
LENSKART,S1_red_close,-0.42% on the day
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
LOTUSDEV,S0_series,BE
MAHSEAMLES,S1_base_short,base 3d — rolling high
MANAKSTEEL,S0_series,BE
MANINDS,S1_off_high,closed 6.9% off day high
MARC,S0_series,SM
MBECL,S0_series,BE
MEDICAPQ,S0_turnover,Rs 1.7 cr
MODEFENCE,S0_fund,ETF/index fund
MOLBIO,S1_base_short,base 1d — rolling high
MONOLITH,S0_series,SM
NITINSPIN,S1_base_short,base 2d — rolling high
NOVARTIND,S1_off_high,closed 6.5% off day high
OAL,S1_red_close,-2.44% on the day
OBSCP,S0_series,SM
ONIXSOLAR,S1_red_close,-0.07% on the day
OPTIFIN,S1_off_high,closed 8.9% off day high
PAISALO,S1_base_short,base 1d — rolling high
PANORAMA,S1_off_high,closed 5.7% off day high
PARNAXLAB,S1_red_close,-1.58% on the day
PATILAUTOM,S0_series,SM
PKTEA,S1_red_close,-4.07% on the day
PRISMX,S1_base_short,base 1d — rolling high
PSRAJ,S0_series,ST
QLINE,S0_series,SM
RAMBHAJO,S1_red_close,-5.03% on the day
REDINGTON,S1_base_short,base 1d — rolling high
RML,S1_base_short,base 2d — rolling high
SAAKSHI,S0_series,ST
SBC,S1_red_close,-1.21% on the day
SEL,S0_series,SM
SETL,S1_base_short,base 1d — rolling high
SHANTIGEAR,S1_base_short,base 1d — rolling high
SHANTIINOR,S0_series,ST
SHAREINDIA,S1_off_high,closed 8.0% off day high
SHEETAL,S0_series,SM
SHERA,S0_series,SM
SHREEDHAR,S0_series,ST
SHREEJISPG,S1_red_close,-0.01% on the day
SHUKRAPHAR,S1_red_close,-3.74% on the day
SMCGLOBAL,S1_off_high,closed 10.9% off day high
SMLMAH,S1_red_close,-4.35% on the day
SOLARA,S1_off_high,closed 5.6% off day high
SPECTRUM,S0_series,BE
SREEL,S1_off_high,closed 8.1% off day high
SSFL,S0_series,ST
STLTECH,S0_series,BE
SUMAX,S0_series,ST
SUNDRMFAST,S1_off_high,closed 7.5% off day high
SUNLITE,S0_series,SM
SUNSHINE,S1_base_short,base 1d — rolling high
SYMBIOTEC,S1_off_high,closed 4.8% off day high
TAALTECH,S1_base_short,base 1d — rolling high
TAMBOLIIN,S0_series,BE
TECHNOCRAF,S1_off_high,closed 3.2% off day high
TRANSCOR,S1_red_close,-0.73% on the day
UDAYJEW,S1_off_high,closed 3.3% off day high
UNIVPHOTO,S0_series,BE
VALIANTLAB,S0_series,BE
VEDAVAAG,S0_turnover,Rs 1.1 cr
VIGOR,S0_series,SM
VIVIDEL,S0_series,SM
VSSL,S1_off_high,closed 8.5% off day high
WELCORP,S1_base_short,base 7d — rolling high
WHEELS,S1_red_close,-5.57% on the day
WSTCSTPAPR,S1_base_short,base 2d — rolling high
XTRANET,S1_red_close,-4.46% on the day
YUKEN,S1_off_high,closed 3.9% off day high
ZIMLAB,S1_off_high,closed 5.0% off day high
BANK10BETF,S0_fund,ETF/index fund
BIOFILCHEM,S0_turnover,Rs 2.5 cr
SRGHFL,S0_turnover,Rs 2.5 cr
KARMAENG,S0_turnover,Rs 0.3 cr
CONS,S0_fund,ETF/index fund
MCCHRLS-B,S0_turnover,Rs 0.3 cr
SHILGRAVQ,S0_turnover,Rs 1.6 cr
SSDL,S0_turnover,Rs 1.9 cr
STEELCITY,S0_turnover,Rs 1.7 cr
GRAVISSHO,S0_turnover,Rs 1.7 cr
KAVDEFENCE,S1_off_high,closed 5.0% off day high
ANMOL,S0_turnover,Rs 2.7 cr
OSWALSEEDS,S0_turnover,Rs 2.3 cr
