symbol,stage,detail
AAREYDRUGS,S1_red_close,-1.60% on the day
ACE,S1_base_short,base 3d — rolling high
ACMESOLAR,S1_base_short,base 3d — rolling high
ACSTECH,S0_series,BE
AEGISVOPAK,S1_base_short,base 3d — rolling high
AHCL,S1_base_short,base 3d — rolling high
AIMTRON,S0_series,SM
AKANKSHA,S0_series,SM
ALUFLUOR,S1_base_short,base 3d — rolling high
AMEYA,S0_series,SM
ANLON,S0_series,SM
APARINDS,S1_base_short,base 3d — rolling high
APOORVA,S1_base_short,base 3d — rolling high
ASTAR,S1_red_close,-9.66% on the day
AUROPHARMA,S1_red_close,-1.19% on the day
AUSTENG,S1_off_high,closed 3.8% off day high
BI,S0_series,BE
BIKEWO,S0_series,ST
BODALCHEM,S1_base_short,base 3d — rolling high
BOSS,S0_series,ST
COMSYN,S1_red_close,-1.75% on the day
CONFIPET,S1_red_close,-4.14% on the day
CORDELIA,S1_red_close,-1.69% on the day
CPCAP,S1_base_short,base 3d — rolling high
DSKULKARNI,S0_series,BE
ELANTAS,S1_base_short,base 6d — rolling high
FEDDERSHOL,S1_off_high,closed 5.3% off day high
FILATEX,S1_base_short,base 3d — rolling high
FONEBOX,S0_series,ST
GCSL,S1_base_short,base 3d — rolling high
GFSTEELS,S0_series,BE
GILT5YBEES,S0_fund,ETF/index fund
GJL,S0_series,ST
GKSL,S1_base_short,base 3d — rolling high
GLASSWALL,S1_base_short,base 3d — rolling high
GLOBAL,S1_red_close,-0.74% on the day
GMMPFAUDLR,S1_base_short,base 3d — rolling high
GREENCHEF,S0_series,SM
HPTL,S0_series,SM
IL&FSENGG,S0_series,BZ
IMPEXFERRO,S0_series,BZ
INDOMIM,S1_base_short,base 3d — rolling high
INDORAMA,S1_base_short,base 6d — rolling high
IRISDOREME,S1_red_close,-2.21% on the day
IVP,S0_series,BE
JYOTICNC,S1_base_short,base 3d — rolling high
KAMDHENU,S1_base_short,base 3d — rolling high
KATARIA,S0_series,SM
KMCSHIL,S1_base_short,base 4d — rolling high
KOPRAN,S1_base_short,base 3d — rolling high
KROSS,S1_base_short,base 3d — rolling high
LAURUSLABS,S1_base_short,base 3d — rolling high
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
MACPOWER,S1_red_close,-7.39% on the day
MANIKA,S0_series,BE
MASPTOP50,S0_fund,ETF/index fund
MAXESTATES,S1_red_close,-0.49% on the day
MBECL,S0_series,BE
MENONBE,S0_series,BE
MKEXIM,S1_red_close,-1.38% on the day
