symbol,stage,detail
3BBLACKBIO,S1_base_short,base 1d — rolling high
ABH,S0_series,ST
AEROFLEX,S1_base_short,base 4d — rolling high
AKSHARCHEM,S0_series,BE
AKUMS,S1_base_short,base 1d — rolling high
ALUFLUOR,S1_base_short,base 1d — rolling high
AMARJOTHI,S1_red_close,-2.61% on the day
ANSALBU,S1_off_high,closed 13.7% off day high
ARTEMISMED,S1_base_short,base 8d — rolling high
ASSAMENT,S1_red_close,-2.07% on the day
ATHERENERG,S1_base_short,base 1d — rolling high
AYMSYNTEX,S1_off_high,closed 4.9% off day high
BAFNAPH,S0_series,BE
BAJAJ-AUTO,S1_base_short,base 1d — rolling high
BHAGERIA,S0_series,BE
BIRLACABLE,S0_series,BE
BLISSGVS,S0_series,BE
BODALCHEM,S1_base_short,base 1d — rolling high
CALSOFT,S1_base_short,base 1d — rolling high
COMSYN,S1_base_short,base 1d — rolling high
CORDSCABLE,S1_base_short,base 1d — rolling high
CYIENTDLM,S1_base_short,base 1d — rolling high
DCBBANK,S1_base_short,base 5d — rolling high
DIVGIITTS,S1_off_high,closed 4.5% off day high
DSKULKARNI,S0_series,BE
DYCL,S1_off_high,closed 3.0% off day high
ELIQUID,S0_fund,ETF/index fund
ENGINERSIN,S1_off_high,closed 3.1% off day high
FORCAS,S0_series,ST
FRESHARA,S0_series,ST
GCSL,S1_base_short,base 1d — rolling high
GHCLTEXTIL,S1_base_short,base 1d — rolling high
GKSL,S1_off_high,closed 3.8% off day high
GYFTR,S1_base_short,base 1d — rolling high
HAPPYFORGE,S1_base_short,base 1d — rolling high
HATSUN,S1_red_close,-0.47% on the day
HEG,S1_red_close,-0.11% on the day
HOACFOODS,S0_series,ST
HTEL,S0_series,BE
IGPL,S1_base_short,base 1d — rolling high
IMPEXFERRO,S0_series,BZ
INDOBORAX,S1_off_high,closed 4.8% off day high
INDSWFTLAB,S1_red_close,-0.25% on the day
IOLCP,S1_red_close,-1.34% on the day
IPCALAB,S1_base_short,base 6d — rolling high
IPRINGLTD,S0_turnover,Rs 2.1 cr
IVP,S0_series,BE
JINDALSAW,S1_base_short,base 5d — rolling high
JINDWORLD,S1_off_high,closed 5.1% off day high
KALYANIFRG,S1_base_short,base 1d — rolling high
KAMDHENU,S0_series,BE
