symbol,stage,detail
ACSTECH,S0_series,BE
AIMTRON,S0_series,SM
AKANKSHA,S0_series,SM
APOORVA,S1_red_close,-1.81% on the day
ARCIL,S1_red_close,-0.84% on the day
AUROPHARMA,S1_red_close,-0.32% on the day
AXTEL,S1_red_close,-1.20% on the day
BLUEWATER,S0_series,ST
CAPLIPOINT,S1_off_high,closed 4.5% off day high
CARBORUNIV,S1_off_high,closed 6.1% off day high
CENTEXT-RE,S0_series,BE
CHAVDA,S0_series,SM
CRAVATEX,S1_off_high,closed 11.0% off day high
DICIND,S1_red_close,-2.95% on the day
DIVISLAB,S1_red_close,-0.23% on the day
DSKULKARNI,S0_series,BE
EKI,S1_base_short,base 1d — rolling high
ESDS,S1_base_short,base 9d — rolling high
ETL,S0_series,SM
FONEBOX,S0_series,ST
GFSTEELS,S0_series,BE
GJL,S0_series,ST
GLOBAL,S1_base_short,base 3d — rolling high
GNA,S1_off_high,closed 4.7% off day high
GNFC,S1_base_short,base 1d — rolling high
GOLDSTAR,S0_series,SM
HALDYNGL,S0_series,BE
HEALTHY,S0_fund,ETF/index fund
HEROMOTORS,S1_base_short,base 1d — rolling high
HPTL,S0_series,SM
IGPL,S1_red_close,-1.00% on the day
IMPEXFERRO,S0_series,BZ
INDOMIM,S1_base_short,base 1d — rolling high
INDSWFTLAB,S1_red_close,-1.91% on the day
JSIPL,S0_series,BE
KABRAEXTRU,S1_base_short,base 9d — rolling high
KARAMTARA,S1_off_high,closed 3.7% off day high
KHERIAAUTO,S0_series,ST
KILITCH,S0_series,BE
KRISHCA,S0_series,SM
LALITHAA,S1_base_short,base 1d — rolling high
LAURUSLABS,S1_red_close,-0.38% on the day
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
LOTUSDEV,S0_series,BE
MANUGRAPH,S1_red_close,-5.19% on the day
MARKSANS,S1_red_close,-3.08% on the day
MAXESTATES,S1_off_high,closed 6.2% off day high
MBECL,S0_series,BE
METALIC,S0_series,ST
MILKYMIST,S1_red_close,-2.00% on the day
MOMETAL,S0_fund,ETF/index fund
MOTISONS,S1_red_close,-0.53% on the day
MUKANDLTD,S1_red_close,-1.69% on the day
ONEPOINT,S1_off_high,closed 4.0% off day high
OPTIVALUE,S0_series,ST
PANORAMA,S1_base_short,base 1d — rolling high
PGIL,S1_red_close,-2.34% on the day
PHARMABEES,S0_fund,ETF/index fund
POLYSPIN,S0_turnover,Rs 0.0 cr
PRASOLCHEM,S1_red_close,-2.28% on the day
PREMIERPOL,S1_off_high,closed 6.3% off day high
PRIORITY,S1_off_high,closed 4.6% off day high
PVP,S1_red_close,-4.84% on the day
QUADPRO,S0_series,ST
QUINT,S0_series,BE
RAYMOND,S1_base_short,base 2d — rolling high
SAHASRA,S0_series,SM
SANATHAN,S1_off_high,closed 3.4% off day high
SHADOWFAX,S1_red_close,-0.07% on the day
SHEKHAWATI,S0_series,BE
SHIVAUM,S1_red_close,-0.04% on the day
SHREEJISPG,S1_base_short,base 1d — rolling high
SHYAMMETL,S1_red_close,-0.16% on the day
SIGMAADV,S0_series,BE
SOMANYCERA,S1_base_short,base 1d — rolling high
SONA,S0_series,BE
SPECTRAA,S0_series,ST
SSRETAIL,S1_off_high,closed 10.2% off day high
STEAMHOUSE,S1_base_short,base 1d — rolling high
STLNETWORK,S1_base_short,base 1d — rolling high
TAURIAN,S0_series,ST
TOYAMSL,S1_red_close,-4.55% on the day
UNIDT,S1_off_high,closed 5.8% off day high
VELJAN,S0_series,BE
VINCOFE,S1_red_close,-0.21% on the day
DANGEE,S0_turnover,Rs 2.1 cr
PVTBANK,S0_fund,ETF/index fund
NEPHROPLUS,S1_red_close,-4.32% on the day
HDFCLOWVOL,S0_fund,ETF/index fund
MON50EQUAL,S0_fund,ETF/index fund
SENSEXADD,S0_fund,ETF/index fund
MFSL,S1_red_close,-9.78% on the day
EBANKNIFTY,S0_fund,ETF/index fund
SECLEDBETA,S0_fund,ETF/index fund
NAGREEKEXP,S0_turnover,Rs 1.0 cr
MOBANK10,S0_fund,ETF/index fund
SENSEXETF,S0_fund,ETF/index fund
AERONEU,S0_turnover,Rs 0.7 cr
CRESTO,S0_turnover,Rs 1.2 cr
RKEC,S0_turnover,Rs 0.5 cr
DCI,S1_off_high,closed 5.6% off day high
DCMSIL,S0_turnover,Rs 3.2 cr
REPL,S0_turnover,Rs 0.0 cr
SGL,S0_turnover,Rs 0.1 cr
BOHRAIND,S0_turnover,Rs 0.1 cr
ALMONDZ,S0_turnover,Rs 0.9 cr
KSCL,S1_off_high,closed 4.4% off day high
SANOFI,S2_no_new_high,day high 3220.90 < 52w high 5059.00
JAGSNPHARM,S2_no_new_high,day high 249.84 < 52w high 264.50
HGINFRA,S1_off_high,closed 8.9% off day high
VIKRAN,S2_no_new_high,day high 62.62 < 52w high 118.40
SEDEMAC,S2_data,DATA UNAVAILABLE (138 bars)
GLOTTIS,S2_data,DATA UNAVAILABLE (244 bars)
AJAXENGG,S2_no_new_high,day high 588.00 < 52w high 697.55
AVANTEL,S2_no_new_high,day high 160.00 < 52w high 215.00
FRONTSP,S2_data,DATA UNAVAILABLE (28 bars)
LAMBODHARA,S2_no_new_high,day high 141.50 < 52w high 151.96
INDIAGLYCO,S2_no_new_high,day high 309.20 < 52w high 1222.00
REMSONSIND,S2_no_new_high,day high 113.39 < 52w high 152.45
CUBEXTUB,S2_no_new_high,day high 138.40 < 52w high 143.69
