symbol,stage,detail
AARTIIND,S1_base_short,base 1d — rolling high
AARTISURF,S1_base_short,base 1d — rolling high
ABMINTLLTD,S0_turnover,Rs 0.1 cr
ACCENTMIC,S0_series,SM
ALPHA,S0_fund,ETF/index fund
ALPHAETF,S0_fund,ETF/index fund
AMAGI,S1_off_high,closed 9.4% off day high
ANANDRATHI,S1_base_short,base 1d — rolling high
ANAWIL,S0_series,ST
AONENIFTY,S0_fund,ETF/index fund
ARMANFIN,S1_off_high,closed 6.2% off day high
ARROWGREEN,S0_series,BE
ATALREAL,S1_base_short,base 3d — rolling high
AUROPHARMA,S1_red_close,-0.22% on the day
AUTOIND,S0_series,BE
AVADHSUGAR,S1_off_high,closed 4.4% off day high
AVATAR,S0_series,ST
AZAD,S1_base_short,base 3d — rolling high
BIKEWO,S0_series,ST
BIRLACABLE,S0_series,BE
BLUESTONE,S1_red_close,-2.45% on the day
BOSCHLTD,S1_base_short,base 1d — rolling high
CLSL,S0_series,ST
CNL,S1_base_short,base 1d — rolling high
COMSYN,S1_base_short,base 2d — rolling high
CPPLUS,S1_red_close,-5.00% on the day
CUPID,S1_base_short,base 1d — rolling high
DALMIASUG,S1_base_short,base 3d — rolling high
DHAMPURSUG,S1_off_high,closed 3.2% off day high
DOLPHIN,S1_red_close,-2.09% on the day
DSKULKARNI,S0_series,BE
ELIQUID,S0_fund,ETF/index fund
EMIL,S1_red_close,-0.68% on the day
ENTERO,S1_base_short,base 1d — rolling high
FLUOROCHEM,S1_off_high,closed 4.6% off day high
GULFPETRO,S0_series,BE
HAPPYFORGE,S1_base_short,base 1d — rolling high
HDFCNEXT50,S0_fund,ETF/index fund
HITECHCORP,S0_series,BE
HNDFDS,S1_base_short,base 1d — rolling high
HYBRIDETF,S0_fund,ETF/index fund
IMPEXFERRO,S0_series,BZ
INVPRECQ,S0_series,BE
IRISDOREME,S1_base_short,base 2d — rolling high
KEI,S1_base_short,base 1d — rolling high
KENNAMET,S1_base_short,base 1d — rolling high
KINGFA,S1_base_short,base 1d — rolling high
LENSKART,S1_off_high,closed 4.9% off day high
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
LMW,S1_base_short,base 2d — rolling high
MAHICKRA,S0_series,SM
MARINE,S1_base_short,base 2d — rolling high
MIDCAPIETF,S0_fund,ETF/index fund
MINDACORP,S1_red_close,-3.44% on the day
MNC,S0_fund,ETF/index fund
MONOLITH,S0_series,SM
NELCO,S1_base_short,base 10d — rolling high
NURECA,S0_series,BE
OBSCP,S0_series,SM
ORIENTBELL,S1_red_close,-1.35% on the day
PAYTM,S1_base_short,base 2d — rolling high
PIDILITIND,S1_red_close,-0.32% on the day
PITTIENG,S1_base_short,base 1d — rolling high
PRECOT,S1_red_close,-5.93% on the day
PROPSHOP,S0_series,ST
PROV,S0_series,SM
QMSMEDI,S1_off_high,closed 5.6% off day high
RADICO,S1_base_short,base 8d — rolling high
RATNAVEER,S1_base_short,base 6d — rolling high
RBA,S1_off_high,closed 4.8% off day high
ROLEXRINGS,S1_base_short,base 2d — rolling high
ROXHITECH,S0_series,SM
RRKABEL,S1_base_short,base 2d — rolling high
RSL,S1_off_high,closed 3.2% off day high
SAHYADRI,S1_off_high,closed 3.2% off day high
SAILIFE,S1_red_close,-0.66% on the day
SALSTEEL,S1_base_short,base 6d — rolling high
SCPL,S1_red_close,-2.85% on the day
SEDEMAC,S1_off_high,closed 3.7% off day high
SEL,S0_series,SM
SENORES,S1_red_close,-0.16% on the day
SKYGOLD,S1_red_close,-7.33% on the day
SOMANYCERA,S1_off_high,closed 6.6% off day high
STEELCAS,S1_base_short,base 8d — rolling high
STLTECH,S0_series,BE
SUNDRMFAST,S1_base_short,base 2d — rolling high
TAMBOLIIN,S0_series,BE
TIIL,S1_off_high,closed 4.0% off day high
UCL,S0_series,ST
UNIVASTU,S0_series,BE
VADILALIND,S1_off_high,closed 7.4% off day high
VIJAYA,S1_red_close,-2.06% on the day
VIVO,S0_series,SM
VOEPL,S1_red_close,-3.40% on the day
WELCORP,S1_base_short,base 1d — rolling high
DICIND,S1_off_high,closed 5.3% off day high
REGENCERAM,S0_turnover,Rs 1.9 cr
ZSARACOM,S0_turnover,Rs 4.2 cr
THYROCARE,S1_red_close,-6.21% on the day
UCAL,S0_turnover,Rs 2.5 cr
LPDC,S0_turnover,Rs 0.4 cr
DHUNINV,S0_turnover,Rs 3.4 cr
GILT5BETA,S0_fund,ETF/index fund
TEXMOPIPES,S0_turnover,Rs 1.8 cr
ATAM,S0_turnover,Rs 0.7 cr
TARMAT,S0_turnover,Rs 2.7 cr
MHLXMIRU,S0_turnover,Rs 2.3 cr
KSR,S0_turnover,Rs 0.1 cr
ZODIAC,S0_turnover,Rs 1.4 cr
MANGALAM,S0_turnover,Rs 0.1 cr
SUPREMEINF,S0_turnover,Rs 1.3 cr
SGMART,S2_data,DATA UNAVAILABLE (229 bars)
SARDAEN,S1_off_high,closed 3.5% off day high
TVSSRICHAK,S1_off_high,closed 6.6% off day high
OMAXE,S2_no_new_high,day high 98.37 < 52w high 101.00
ASTRAL,S2_no_new_high,day high 1600.00 < 52w high 1768.70
LINCOLN,S1_off_high,closed 4.2% off day high
SKFINDIA,S1_off_high,closed 6.4% off day high
SUNTV,S1_off_high,closed 4.7% off day high
MUKKA,S1_off_high,closed 7.3% off day high
URBANCO,S2_data,DATA UNAVAILABLE (227 bars)
SURAKSHA,S2_no_new_high,day high 312.00 < 52w high 333.00
TEGA,S2_no_new_high,day high 1690.00 < 52w high 2125.00
ZEEMEDIA,S2_no_new_high,day high 8.58 < 52w high 13.26
JUBLCPL,S2_no_new_high,day high 2322.60 < 52w high 3013.40
MOREPENLAB,S2_no_new_high,day high 81.87 < 52w high 83.50
