symbol,stage,detail
AEROFLEX,S1_base_short,base 2d — rolling high
AETHER,S1_base_short,base 1d — rolling high
ALUFLUOR,S1_base_short,base 2d — rolling high
ANSALBU,S1_red_close,-5.09% on the day
ARYAMAN,S1_base_short,base 3d — rolling high
ASIANENE,S1_red_close,-2.78% on the day
ASIANTNE,S0_turnover,Rs 0.1 cr
AZADIND,S1_red_close,-7.02% on the day
BAFNAPH,S0_series,BE
BAHETI,S0_series,SM
BAJAJ-AUTO,S1_base_short,base 3d — rolling high
BLSE,S1_base_short,base 8d — rolling high
BLUEWATER,S0_series,ST
BODALCHEM,S0_series,BE
CALSOFT,S1_base_short,base 1d — rolling high
COMMITTED,S0_series,SM
CRAFTSMAN,S1_base_short,base 10d — rolling high
CYIENTDLM,S1_base_short,base 1d — rolling high
DIVISLAB,S1_base_short,base 1d — rolling high
DSKULKARNI,S0_series,BE
DYCL,S1_base_short,base 4d — rolling high
ELIQUID,S0_fund,ETF/index fund
EMPIND,S1_base_short,base 1d — rolling high
ENTERO,S1_base_short,base 1d — rolling high
ESAFSFB,S0_series,BE
ETL,S0_series,SM
FMGOETZE,S1_base_short,base 2d — rolling high
FRESHARA,S0_series,ST
GATECH,S0_series,BE
GHCLTEXTIL,S1_base_short,base 8d — rolling high
GIPCL,S1_base_short,base 1d — rolling high
GKSL,S1_base_short,base 8d — rolling high
GLAXO,S1_base_short,base 1d — rolling high
GLENMARK,S1_base_short,base 1d — rolling high
GROWWMOM50,S0_fund,ETF/index fund
HALDYNGL,S0_series,BE
HAZOOR,S1_red_close,-4.90% on the day
HFCL,S1_base_short,base 1d — rolling high
IMAGICAA,S1_red_close,-3.34% on the day
IMPEXFERRO,S0_series,BZ
INOXINDIA,S1_red_close,-2.75% on the day
IOLCP,S1_base_short,base 1d — rolling high
ITL,S1_base_short,base 4d — rolling high
IVZSENSEX,S0_fund,ETF/index fund
JGCHEM,S1_base_short,base 9d — rolling high
JMA,S0_turnover,Rs 1.9 cr
KENNAMET,S1_off_high,closed 4.9% off day high
KRN,S1_base_short,base 9d — rolling high
KSHITIJ-RE,S0_series,BE
LAMOSAIC,S0_series,ST
LANCORHOL,S1_base_short,base 3d — rolling high
LAURUSLABS,S1_base_short,base 1d — rolling high
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
MACPOWER,S1_off_high,closed 3.7% off day high
MAHASTEEL,S0_series,BE
MANAKSTEEL,S1_base_short,base 1d — rolling high
MANIPALHOS,S1_red_close,-2.76% on the day
MARINE,S1_base_short,base 8d — rolling high
MINALIND,S0_series,BE
MINDPOOL,S0_series,SM
MOHITE,S0_turnover,Rs 0.3 cr
MONOLITH,S0_series,SM
MOREPENLAB,S1_base_short,base 1d — rolling high
MVELECTRO,S1_off_high,closed 5.2% off day high
NAZARA,S1_base_short,base 8d — rolling high
NICCOPAR,S1_red_close,-5.79% on the day
OAL,S1_base_short,base 1d — rolling high
ODYCORP,S1_off_high,closed 12.7% off day high
OFSS,S1_base_short,base 2d — rolling high
OMAXE,S1_base_short,base 1d — rolling high
ORIENTBELL,S1_red_close,-0.03% on the day
PARNAXLAB,S1_base_short,base 3d — rolling high
PBMPOLY,S1_off_high,closed 9.3% off day high
PCCL,S0_series,SM
PIRAMALFIN,S1_base_short,base 2d — rolling high
PREMIERPOL,S1_red_close,-0.85% on the day
PROPSHOP,S0_series,SM
PTCIL,S1_base_short,base 4d — rolling high
PVP,S1_base_short,base 1d — rolling high
RAMRAT,S1_base_short,base 1d — rolling high
