symbol,stage,detail
ACCENTMIC,S0_series,SM
ACCPL,S0_series,ST
AETHER,S1_off_high,closed 3.4% off day high
AIMTRON,S0_series,SM
AJANTPHARM,S1_red_close,-0.22% on the day
AKANKSHA,S0_series,SM
AKIKO,S0_series,SM
ALPHAGEO,S1_off_high,closed 5.4% off day high
ALUFLUOR,S1_base_short,base 1d — rolling high
AMAL,S1_red_close,-1.00% on the day
ANAWIL,S0_series,ST
ANDREWYU,S1_red_close,-1.41% on the day
ANSALBU,S1_off_high,closed 3.9% off day high
ARYAMAN,S1_red_close,+0.00% on the day
ASIANENE,S1_base_short,base 1d — rolling high
AUSTENG,S1_red_close,-6.97% on the day
AVADHSUGAR,S1_red_close,-2.35% on the day
AVALON,S1_base_short,base 1d — rolling high
AVANCE,S1_off_high,closed 3.2% off day high
AVATAR,S0_series,ST
AVTNPL,S1_red_close,-0.11% on the day
BALRAMCHIN,S1_red_close,-0.17% on the day
BENARAS,S0_turnover,Rs 0.1 cr
BI,S1_base_short,base 1d — rolling high
BIKEWO,S0_series,ST
BMLL,S0_series,SM
BOSCHLTD,S1_base_short,base 1d — rolling high
BOSS,S0_series,SM
BRIGHTBR,S1_off_high,closed 3.4% off day high
CHEMCRUX,S1_base_short,base 1d — rolling high
CHENNPETRO,S1_off_high,closed 3.6% off day high
CNL,S1_base_short,base 1d — rolling high
CRSL,S1_base_short,base 1d — rolling high
CYIENTDLM,S1_off_high,closed 3.4% off day high
DALMIASUG,S1_red_close,-1.22% on the day
DBOL,S1_off_high,closed 7.2% off day high
DECNGOLD,S1_base_short,base 1d — rolling high
DEEP,S1_red_close,-1.69% on the day
DEEPINDS,S1_base_short,base 6d — rolling high
DHABRIYA,S1_off_high,closed 4.6% off day high
DHAMPURSUG,S1_red_close,-1.28% on the day
DHATRE,S1_off_high,closed 8.4% off day high
DHOOTTRANS,S1_base_short,base 1d — rolling high
DOLPHIN,S1_base_short,base 1d — rolling high
DSKULKARNI,S0_series,BE
EBANK10,S0_fund,ETF/index fund
ELIQUID,S0_fund,ETF/index fund
EMPIND,S1_base_short,base 1d — rolling high
ENKEIWHEL,S1_base_short,base 1d — rolling high
FILATEX,S1_base_short,base 8d — rolling high
FORCAS,S0_series,ST
GKSL,S1_base_short,base 1d — rolling high
GROWWDEFNC,S0_fund,ETF/index fund
HAMPTON,S1_off_high,closed 3.1% off day high
HAPPYFORGE,S1_base_short,base 1d — rolling high
HDFCLIQUID,S0_fund,ETF/index fund
HDFCSML250,S0_fund,ETF/index fund
HEG,S1_base_short,base 4d — rolling high
HINDADH,S1_off_high,closed 4.6% off day high
HINDALUMI,S1_red_close,-0.17% on the day
HNDFDS,S1_base_short,base 1d — rolling high
HRYNSHP,S0_turnover,Rs 0.0 cr
IL&FSENGG,S0_series,BZ
IMPEXFERRO,S0_series,BZ
INDOKEM,S1_red_close,-1.11% on the day
INDSWFTLAB,S1_base_short,base 6d — rolling high
INVPRECQ,S0_series,BE
IPRINGLTD,S0_turnover,Rs 0.0 cr
