symbol,stage,detail
AAREYDRUGS,S1_red_close,-0.71% on the day
ACE,S1_base_short,base 1d — rolling high
ACSTECH,S0_series,BE
AEGISVOPAK,S1_base_short,base 1d — rolling high
AHCL,S1_off_high,closed 6.8% off day high
AKANKSHA,S0_series,SM
ALGOQUANT,S1_off_high,closed 4.6% off day high
AMEYA,S0_series,SM
ANLON,S0_series,SM
APOORVA,S1_base_short,base 1d — rolling high
ASTAR,S0_turnover,Rs 1.1 cr
BHAGYANGR,S1_off_high,closed 4.5% off day high
BIKEWO,S0_series,ST
BIRLACABLE,S1_base_short,base 3d — rolling high
BODALCHEM,S1_base_short,base 9d — rolling high
CONFIPET,S1_base_short,base 3d — rolling high
CPCAP,S1_off_high,closed 4.3% off day high
DICIND,S1_red_close,-0.02% on the day
DSKULKARNI,S0_series,BE
EMIL,S1_off_high,closed 3.4% off day high
FILATEX,S1_base_short,base 1d — rolling high
GCSL,S1_base_short,base 8d — rolling high
GFSTEELS,S0_series,BE
GJL,S0_series,ST
GKSL,S1_base_short,base 3d — rolling high
GLASSWALL,S1_off_high,closed 10.1% off day high
GMMPFAUDLR,S1_base_short,base 3d — rolling high
GOCLCORP,S1_red_close,-1.79% on the day
GREENCHEF,S0_series,SM
HPTL,S0_series,SM
IL&FSENGG,S0_series,BZ
IMPEXFERRO,S0_series,BZ
INDOKEM,S1_red_close,-4.37% on the day
INDOMIM,S1_base_short,base 8d — rolling high
IPCALAB,S1_base_short,base 1d — rolling high
JYOTICNC,S1_base_short,base 10d — rolling high
KAMDHENU,S0_series,BE
KARAMTARA,S1_red_close,-0.57% on the day
KATARIA,S0_series,SM
KISSHT,S1_red_close,-0.96% on the day
KOPRAN,S1_base_short,base 2d — rolling high
KROSS,S1_red_close,-1.34% on the day
LAURUSLABS,S1_base_short,base 7d — rolling high
LENSKART,S1_base_short,base 8d — rolling high
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
MASPTOP50,S0_fund,ETF/index fund
MAXESTATES,S1_base_short,base 1d — rolling high
MBECL,S0_series,BE
MONQ50,S0_fund,ETF/index fund
MOREPENLAB,S1_base_short,base 10d — rolling high
MRIL,S0_series,ST
NEOGEN,S1_base_short,base 1d — rolling high
NRBBEARING,S1_base_short,base 7d — rolling high
NRL,S0_series,BE
PRASOLCHEM,S1_off_high,closed 4.5% off day high
PROV,S0_series,SM
PSRAJ,S0_series,SM
QMSMEDI,S0_series,BE
QUADFUTURE,S1_off_high,closed 5.2% off day high
QUINT,S0_turnover,Rs 4.6 cr
RAMBHAJO,S1_base_short,base 8d — rolling high
RATNAVEER,S1_red_close,-1.10% on the day
REDINGTON,S1_red_close,-0.12% on the day
REMUS,S0_series,SM
RENTOMOJO,S1_red_close,-4.14% on the day
RIR,S1_red_close,-0.07% on the day
ROLLT,S0_series,BE
ROSSTECH,S1_off_high,closed 6.3% off day high
SANSERA,S1_base_short,base 3d — rolling high
SBC,S1_base_short,base 8d — rolling high
SGRL,S1_base_short,base 10d — rolling high
SHAREINDIA,S1_off_high,closed 3.1% off day high
SHREEDHAR,S0_series,ST
SIGMAADV,S0_series,BE
SKFINDUS,S1_off_high,closed 8.3% off day high
SOFTTECH,S1_base_short,base 1d — rolling high
SPCON,S0_series,SM
STEAMHOUSE,S1_red_close,-4.05% on the day
STLNETWORK,S1_base_short,base 1d — rolling high
SWANDEF,S0_series,BE
SYRMA,S1_base_short,base 9d — rolling high
TBZ,S1_base_short,base 9d — rolling high
TOYAMSL,S1_base_short,base 1d — rolling high
UNIVPHOTO,S0_series,BE
VALIANTORG,S0_series,BE
VEEGALAND,S0_series,BE
VELJAN,S0_series,BE
VENUSPIPES,S1_base_short,base 1d — rolling high
WSTCSTPAPR,S1_base_short,base 1d — rolling high
XTRANET,S1_off_high,closed 5.8% off day high
YATHARTH,S1_off_high,closed 4.2% off day high
NIFTYBETA,S0_fund,ETF/index fund
MANUGRAPH,S0_turnover,Rs 1.1 cr
ABCOTS,S0_turnover,Rs 4.7 cr
AQYLON,S1_red_close,-4.29% on the day
GODIGIT,S1_red_close,-7.36% on the day
LPDC,S0_turnover,Rs 0.3 cr
SHIVAMAUTO,S0_turnover,Rs 0.6 cr
COMPUSOFT,S0_turnover,Rs 0.4 cr
WHBRADY,S0_turnover,Rs 0.0 cr
TVSHLTD,S1_red_close,-0.07% on the day
