symbol,stage,detail
5PAISA,S1_off_high,closed 3.3% off day high
ACCENTMIC,S0_series,SM
ACCPL,S0_series,ST
ACE,S1_red_close,-0.40% on the day
AKIKO,S0_series,SM
ALUFLUOR,S1_base_short,base 1d — rolling high
APOLLOPIPE,S1_base_short,base 1d — rolling high
ASIANENE,S1_base_short,base 1d — rolling high
AUSTENG,S0_turnover,Rs 0.2 cr
AVADHSUGAR,S1_off_high,closed 3.2% off day high
AVALON,S1_base_short,base 1d — rolling high
AVATAR,S0_series,ST
BAHETI,S0_series,SM
BENARAS,S1_red_close,-0.16% on the day
BI,S1_red_close,-9.99% on the day
BIKEWO,S0_series,ST
BLEL,S1_off_high,closed 5.4% off day high
BLISSGVS,S0_series,BE
BMLL,S0_series,SM
BOSCHLTD,S1_red_close,-0.55% on the day
BOSS,S0_series,SM
BRAHMINFRA,S1_red_close,-4.40% on the day
CHENNPETRO,S1_off_high,closed 3.1% off day high
CLSL,S0_series,ST
CRSL,S0_turnover,Rs 0.8 cr
DALMIASUG,S1_base_short,base 1d — rolling high
DEEP,S1_base_short,base 1d — rolling high
DEEPINDS,S1_red_close,-8.35% on the day
DEFENCE,S0_fund,ETF/index fund
DHABRIYA,S1_base_short,base 1d — rolling high
DHAMPURSUG,S1_base_short,base 1d — rolling high
DHOOTTRANS,S1_base_short,base 1d — rolling high
DOLPHIN,S1_red_close,-1.32% on the day
DSKULKARNI,S0_series,BE
EBIX,S1_base_short,base 2d — rolling high
EKI,S1_red_close,-1.34% on the day
ELIQUID,S0_fund,ETF/index fund
EMPIND,S1_base_short,base 1d — rolling high
ENKEIWHEL,S1_base_short,base 1d — rolling high
FORCAS,S0_series,ST
GHCLTEXTIL,S1_red_close,-1.13% on the day
GKSL,S1_base_short,base 1d — rolling high
GLAXO,S1_base_short,base 1d — rolling high
GROWWDEFNC,S0_fund,ETF/index fund
HAPPY,S0_series,SM
HAPPYFORGE,S1_base_short,base 1d — rolling high
HEALTHCARE,S0_fund,ETF/index fund
HFCL,S1_red_close,-1.62% on the day
HNDFDS,S1_off_high,closed 4.8% off day high
HRYNSHP,S1_red_close,-2.73% on the day
HYBRIDETF,S0_fund,ETF/index fund
IL&FSENGG,S0_series,BZ
IMPEXFERRO,S0_series,BZ
INDOMIM,S1_off_high,closed 3.3% off day high
INVPRECQ,S0_series,BE
