symbol,stage,detail
AETHER,S1_base_short,base 9d — rolling high
AKSHARCHEM,S0_series,BE
ALPHA,S0_fund,ETF/index fund
ALPHAETF,S0_fund,ETF/index fund
ANSALBU,S0_turnover,Rs 0.0 cr
ANTHEM,S1_red_close,-0.08% on the day
ASIANENE,S1_base_short,base 6d — rolling high
AUSTENG,S1_red_close,-2.43% on the day
BODALCHEM,S0_series,BE
BPLPHARMA,S1_red_close,-2.94% on the day
CALSOFT,S1_base_short,base 1d — rolling high
CYIENTDLM,S1_base_short,base 1d — rolling high
DCBBANK,S1_base_short,base 1d — rolling high
DCMNVL,S1_base_short,base 1d — rolling high
DIVISLAB,S1_base_short,base 1d — rolling high
DSKULKARNI,S0_series,BE
ELIQUID,S0_fund,ETF/index fund
EMPIND,S1_red_close,-0.24% on the day
ENEXT50,S0_fund,ETF/index fund
ENTERO,S1_base_short,base 2d — rolling high
ESAFSFB,S0_series,BE
FRESHARA,S0_series,ST
GATECH,S0_series,BE
GIPCL,S1_red_close,-0.33% on the day
GLAXO,S1_base_short,base 8d — rolling high
GROWWLIQID,S0_fund,ETF/index fund
HFCL,S1_base_short,base 2d — rolling high
IGPL,S1_red_close,-1.83% on the day
IMPEXFERRO,S0_series,BZ
INFINIUM,S0_series,SM
IOLCP,S1_base_short,base 1d — rolling high
IVZBANKNF,S0_fund,ETF/index fund
JINDALSAW,S1_base_short,base 1d — rolling high
JNPR,S1_red_close,-6.71% on the day
JSWSTEEL,S1_red_close,-0.26% on the day
KENNAMET,S1_base_short,base 1d — rolling high
KRISHANA,S1_red_close,-7.05% on the day
LAMOSAIC,S0_series,ST
LANCER,S1_red_close,-0.17% on the day
LAURUSLABS,S1_base_short,base 1d — rolling high
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
MAHASTEEL,S0_series,BE
MANBRO,S1_base_short,base 3d — rolling high
MANGLMCEM,S1_base_short,base 3d — rolling high
MANINDS,S1_base_short,base 6d — rolling high
MANIPALHOS,S1_base_short,base 1d — rolling high
MCCHRLS-B,S1_off_high,closed 14.9% off day high
MIDCAPBETA,S0_fund,ETF/index fund
MIDSELIETF,S0_fund,ETF/index fund
MIDSMALL,S0_fund,ETF/index fund
MIIL,S1_red_close,-0.75% on the day
MILKYMIST,S1_red_close,-3.13% on the day
MINALIND,S0_series,BE
MKEXIM,S1_off_high,closed 5.4% off day high
