symbol,stage,detail
ACCENTMIC,S0_series,SM
ACCPL,S0_series,ST
AHCL,S1_off_high,closed 11.5% off day high
AMDIND,S1_off_high,closed 7.6% off day high
ANMOL,S1_red_close,-8.30% on the day
APOORVA,S1_red_close,-2.21% on the day
ARCL,S1_base_short,base 4d — rolling high
ARROWGREEN,S1_off_high,closed 5.2% off day high
ASHUTOSH,S0_series,ST
AUSTENG,S1_red_close,-7.61% on the day
AXTEL,S1_red_close,-3.79% on the day
BENARAS,S1_red_close,-0.77% on the day
BIRLACABLE,S1_red_close,-1.75% on the day
BIRLAPREC,S0_series,BE
BLISSGVS,S0_series,BE
CFEL,S1_red_close,-4.08% on the day
CONFIPET,S1_red_close,-5.74% on the day
CORDELIA,S1_red_close,-0.75% on the day
CORONA,S1_red_close,-0.05% on the day
DCG,S0_series,SM
DHOOTTRANS,S1_red_close,-10.00% on the day
DIACABS,S0_series,BE
DSKULKARNI,S0_series,BE
EBGNG,S1_red_close,-0.98% on the day
ELANTAS,S1_red_close,-6.96% on the day
ENERGYAXIS,S0_fund,ETF/index fund
ESDS,S1_base_short,base 4d — rolling high
FILATEX,S1_red_close,-7.37% on the day
FLYSBS,S0_series,SM
FONEBOX,S0_series,SM
FROG,S0_series,SM
GAYAPROJ,S1_base_short,base 4d — rolling high
GFSTEELS,S1_base_short,base 4d — rolling high
GJL,S0_series,ST
GKSL,S1_off_high,closed 5.4% off day high
GMMPFAUDLR,S1_base_short,base 6d — rolling high
GRANULES,S1_red_close,-3.97% on the day
GRAVISSHO,S0_turnover,Rs 0.6 cr
HALDYNGL,S0_series,BE
HATSUN,S1_off_high,closed 6.7% off day high
HPTL,S0_series,SM
HTEL,S0_series,BE
IL&FSENGG,S0_series,BZ
IMPEXFERRO,S0_series,BZ
INDORAMA,S1_red_close,-5.46% on the day
INNOVACAP,S1_red_close,-1.24% on the day
KABRAEXTRU,S1_red_close,-10.00% on the day
KATARIA,S0_series,SM
KOPRAN,S1_off_high,closed 6.7% off day high
KROSS,S1_red_close,-5.04% on the day
KSR,S1_base_short,base 4d — rolling high
LADDERUP,S1_red_close,-10.00% on the day
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
LOTUSDEV,S0_series,BE
MAHSEAMLES,S1_red_close,-3.62% on the day
MBECL,S0_series,BE
METAL,S0_fund,ETF/index fund
MILKYMIST,S1_red_close,-5.00% on the day
MMP,S1_red_close,-2.97% on the day
MUKKA,S1_red_close,-2.08% on the day
MWL,S1_off_high,closed 15.4% off day high
NRAIL,S1_off_high,closed 6.6% off day high
OAL,S1_red_close,-4.91% on the day
PAISALO,S1_red_close,-0.02% on the day
PLAZACABLE,S1_red_close,-2.02% on the day
PRANAV,S1_red_close,-20.00% on the day
PRISMX,S1_red_close,-3.45% on the day
PSRAJ,S0_series,SM
QLINE,S0_series,SM
QMSMEDI,S0_series,BE
QUADFUTURE,S1_off_high,closed 6.5% off day high
QUINT,S0_turnover,Rs 0.2 cr
