symbol,stage,detail
AARTIIND,S1_red_close,-0.90% on the day
ADDIND,S1_red_close,-4.47% on the day
AKANKSHA,S0_series,SM
AKIKO,S0_series,SM
AKSHARCHEM,S0_series,BE
AKUMS,S1_red_close,-3.31% on the day
ALPHA,S0_fund,ETF/index fund
ALPHAETF,S0_fund,ETF/index fund
APOLLOPIPE,S1_base_short,base 1d — rolling high
ARCHIDPLY,S1_off_high,closed 8.2% off day high
ARHAM,S0_series,SM
ARYAMAN,S1_base_short,base 1d — rolling high
AUBANK,S1_base_short,base 1d — rolling high
BAHETI,S0_series,SM
BODALCHEM,S0_series,BE
CALSOFT,S1_base_short,base 5d — rolling high
CLSEL,S1_base_short,base 1d — rolling high
CLSL,S0_series,ST
CORDELIA,S1_red_close,-0.62% on the day
CORDSCABLE,S0_series,BE
CYIENTDLM,S1_base_short,base 7d — rolling high
DCBBANK,S1_base_short,base 1d — rolling high
DHOOTTRANS,S1_base_short,base 4d — rolling high
DSKULKARNI,S0_series,BE
EASTWEST,S1_off_high,closed 4.6% off day high
EBIX,S1_base_short,base 1d — rolling high
ELIQUID,S0_fund,ETF/index fund
ENTERO,S1_base_short,base 1d — rolling high
FRESHARA,S0_series,ST
GATECH,S0_series,BE
GOKULAGRO,S1_base_short,base 5d — rolling high
GSPCROP,S1_off_high,closed 6.0% off day high
GULFPETRO,S0_series,BE
HAPPY,S0_series,SM
HEALTHAXIS,S0_fund,ETF/index fund
HFCL,S1_red_close,-0.60% on the day
HITECHCORP,S0_series,BE
HPTL,S0_series,SM
IMPEXFERRO,S0_series,BZ
INDOKEM,S1_off_high,closed 3.2% off day high
IPCALAB,S1_base_short,base 8d — rolling high
JAYSREETEA,S1_base_short,base 4d — rolling high
KANPRPLA,S1_base_short,base 4d — rolling high
KOHINOOR,S1_red_close,-2.06% on the day
KRISHANA,S1_base_short,base 1d — rolling high
LAMOSAIC,S0_series,ST
LANCER,S1_base_short,base 8d — rolling high
LANCORHOL,S1_red_close,-0.49% on the day
LASERPOWER,S1_base_short,base 6d — rolling high
LCL,S1_base_short,base 4d — rolling high
LEENEE,S1_red_close,-5.43% on the day
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
