symbol,stage,detail
ACSTECH,S0_series,BE
ADISOFT,S0_series,SM
ADROITINFO,S1_off_high,closed 5.5% off day high
AEROPLANE,S1_off_high,closed 3.0% off day high
AHCL,S1_off_high,closed 4.5% off day high
AIMTRON,S0_series,SM
AKANKSHA,S0_series,SM
AKIKO,S0_series,SM
AKUMS,S1_base_short,base 1d — rolling high
ALUFLUOR,S1_base_short,base 2d — rolling high
AMEYA,S0_series,SM
ANLON,S0_series,SM
ANSALBU,S0_turnover,Rs 1.8 cr
APOORVA,S1_off_high,closed 3.4% off day high
ARCIL,S1_base_short,base 6d — rolling high
AUSTENG,S1_off_high,closed 7.6% off day high
AVTNPL,S1_red_close,-1.08% on the day
BHADORA,S0_series,ST
BLUESTONE,S1_red_close,-8.64% on the day
CENTUM,S1_red_close,-1.08% on the day
CORDSCABLE,S1_red_close,-3.40% on the day
CREDENT,S0_series,SM
DICIND,S1_base_short,base 1d — rolling high
DOLPHIN,S1_red_close,-0.32% on the day
EBGNG,S1_base_short,base 8d — rolling high
EDELWEISS,S1_base_short,base 1d — rolling high
EKI,S0_turnover,Rs 0.8 cr
ENGINERSIN,S1_base_short,base 1d — rolling high
ETL,S0_series,SM
FILATEX,S1_off_high,closed 3.1% off day high
FONEBOX,S0_series,ST
GCSL,S1_base_short,base 1d — rolling high
GFSTEELS,S0_series,BE
GJL,S0_series,ST
GREENCHEF,S0_series,SM
GROWWNET,S0_fund,ETF/index fund
HEALTHCARE,S0_fund,ETF/index fund
HPTL,S0_series,SM
IMPEXFERRO,S0_series,BZ
INDOMIM,S1_off_high,closed 3.3% off day high
INNOVACAP,S1_off_high,closed 4.4% off day high
ISFT,S1_off_high,closed 6.8% off day high
JSIPL,S0_series,BE
KANOHAR,S1_base_short,base 1d — rolling high
KILITCH,S0_series,BE
KOPRAN,S1_base_short,base 2d — rolling high
KROSS,S1_base_short,base 1d — rolling high
KSL,S1_off_high,closed 3.2% off day high
LAURUSLABS,S1_base_short,base 1d — rolling high
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
LOTUSDEV,S0_series,BE
LUMAXTECH,S1_red_close,-3.18% on the day
MANUGRAPH,S0_turnover,Rs 4.1 cr
MBECL,S0_series,BE
METALIC,S0_series,ST
MILKYMIST,S1_base_short,base 8d — rolling high
MITCON,S0_turnover,Rs 0.8 cr
MOMSBELIEF,S1_red_close,-1.02% on the day
MPIMANIPAL,S1_off_high,closed 8.5% off day high
NAMOEWASTE,S0_series,SM
NRBBEARING,S1_base_short,base 2d — rolling high
NRL,S0_series,BE
ONEPOINT,S1_off_high,closed 3.3% off day high
OPTIFIN,S1_red_close,-8.44% on the day
OPTIVALUE,S0_series,ST
PANORAMA,S1_base_short,base 1d — rolling high
PATILAUTOM,S0_series,SM
PCCL,S0_series,SM
PRASOLCHEM,S1_base_short,base 5d — rolling high
PROV,S0_series,SM
QMSMEDI,S0_series,BE
QUADPRO,S0_series,ST
QUINT,S0_series,BE
RATNAVEER,S1_red_close,-0.24% on the day
RBLBANK,S1_base_short,base 1d — rolling high
REDINGTON,S1_red_close,-3.02% on the day
RGL,S1_base_short,base 8d — rolling high
ROLLT,S0_series,BE
RUBYMILLS,S1_off_high,closed 5.2% off day high
SAAKSHI,S0_series,ST
SAHASRA,S0_series,SM
SAKAR,S1_red_close,-2.10% on the day
SANSERA,S1_base_short,base 1d — rolling high
SEL,S0_series,SM
SGIL,S1_off_high,closed 5.6% off day high
SGRL,S1_base_short,base 2d — rolling high
SHADOWFAX,S1_base_short,base 1d — rolling high
SHANTIGOLD,S1_off_high,closed 3.1% off day high
SHEKHAWATI,S0_series,BE
SHIVAUM,S1_red_close,-0.59% on the day
SHREEDHAR,S0_series,ST
SHREEJISPG,S1_base_short,base 1d — rolling high
SHUKRAPHAR,S1_red_close,-4.34% on the day
SHYAMMETL,S1_base_short,base 2d — rolling high
SIGMAADV,S0_series,BE
SMLMAH,S1_base_short,base 1d — rolling high
SOMANYCERA,S1_base_short,base 2d — rolling high
SPECTRUM,S0_series,BE
STEAMHOUSE,S1_red_close,-2.00% on the day
STLNETWORK,S1_base_short,base 1d — rolling high
SUBEXLTD,S1_base_short,base 8d — rolling high
SWANDEF,S0_series,BE
TAURIAN,S0_series,ST
TBZ,S0_series,BE
TECHNOCRAF,S1_base_short,base 1d — rolling high
TIMEX,S1_off_high,closed 3.1% off day high
TOYAMSL,S1_base_short,base 1d — rolling high
VELJAN,S0_series,BE
WELCORP,S1_base_short,base 1d — rolling high
WELSPUNLIV,S1_off_high,closed 4.1% off day high
LOYALTEX,S0_turnover,Rs 1.3 cr
EKC,S1_off_high,closed 4.4% off day high
SBIETFPB,S0_fund,ETF/index fund
SAB,S0_turnover,Rs 0.0 cr
NPBET,S0_fund,ETF/index fund
MOOILGAS,S0_fund,ETF/index fund
MOLOWVOL,S0_fund,ETF/index fund
RADAAN,S0_turnover,Rs 0.2 cr
KOTHARIPRO,S0_turnover,Rs 0.9 cr
SILVER001,S0_fund,ETF/index fund
NIFTYAXIS,S0_fund,ETF/index fund
ATLASCYCLE,S0_turnover,Rs 2.5 cr
NAGREEKEXP,S0_turnover,Rs 0.2 cr
SWARNSAR,S0_turnover,Rs 0.2 cr
HEROMOTORS,S2_data,DATA UNAVAILABLE (1 bars)
JAYKAY,S2_data,DATA UNAVAILABLE (204 bars)
LALITHAA,S2_data,DATA UNAVAILABLE (23 bars)
PRIORITY,S2_data,DATA UNAVAILABLE (14 bars)
SSRETAIL,S2_data,DATA UNAVAILABLE (1 bars)
ELECON,S2_no_new_high,day high 476.90 < 52w high 628.15
ARVSMART,S1_off_high,closed 5.2% off day high
BIKAJI,S2_no_new_high,day high 607.50 < 52w high 794.10
PREMIERPOL,S2_no_new_high,day high 97.22 < 52w high 98.80
WHIRLPOOL,S2_no_new_high,day high 865.25 < 52w high 1437.00
SOLEX,S1_off_high,closed 4.5% off day high
FRONTSP,S2_data,DATA UNAVAILABLE (26 bars)
MARINE,S1_off_high,closed 4.7% off day high
SCODATUBES,S1_off_high,closed 5.5% off day high
RAYMONDREL,S2_no_new_high,day high 679.00 < 52w high 734.90
CUBEXTUB,S2_no_new_high,day high 125.82 < 52w high 143.69
