symbol,stage,detail
AMEYA,S0_series,SM
APOORVA,S1_base_short,base 1d — rolling high
ARCL,S1_base_short,base 1d — rolling high
ARROWGREEN,S1_off_high,closed 4.9% off day high
BOSS,S0_series,SM
DIACABS,S0_series,BE
DSKULKARNI,S0_series,BE
FONEBOX,S0_series,SM
GFSTEELS,S0_series,BE
GJL,S0_series,ST
GLASSWALL,S1_off_high,closed 5.7% off day high
GLOBAL,S1_off_high,closed 3.0% off day high
GRAVISSHO,S1_red_close,-9.15% on the day
HBPOR,S1_off_high,closed 3.1% off day high
HPTL,S0_series,SM
IL&FSENGG,S0_series,BZ
IMPEXFERRO,S0_series,BZ
KANOHAR,S1_off_high,closed 4.2% off day high
KANORICHEM,S0_series,BE
KATARIA,S0_series,SM
KOPRAN,S1_off_high,closed 4.8% off day high
KSR,S1_base_short,base 1d — rolling high
LALPATHLAB,S1_red_close,-0.98% on the day
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
LOTUSDEV,S0_series,BE
MARC,S0_series,SM
MBECL,S0_series,BE
MONQ50,S0_fund,ETF/index fund
NRL,S0_series,BE
PAISALO,S1_base_short,base 1d — rolling high
PAYTM,S1_off_high,closed 3.5% off day high
PSRAJ,S0_series,SM
QMSMEDI,S0_series,BE
QUINT,S0_turnover,Rs 0.2 cr
RACLGEAR,S1_base_short,base 5d — rolling high
ROLLT,S0_series,BE
ROSSTECH,S1_off_high,closed 4.9% off day high
SAAKSHI,S0_series,ST
SEL,S0_series,SM
SHANTIINOR,S0_series,ST
SHEETAL,S0_series,SM
SHREEDHAR,S0_series,ST
STLNETWORK,S1_base_short,base 1d — rolling high
STLSTRINF,S0_turnover,Rs 0.3 cr
TOYAMSL,S1_base_short,base 1d — rolling high
UNIVPHOTO,S0_series,BE
UPHOT,S1_red_close,-4.84% on the day
UTSSAV,S0_series,SM
YUKEN,S1_base_short,base 6d — rolling high
GSEC10IETF,S0_fund,ETF/index fund
NPST,S1_off_high,closed 5.8% off day high
TATACHEM,S1_red_close,-0.73% on the day
MIDCAPBETA,S0_fund,ETF/index fund
NIF500BETA,S0_fund,ETF/index fund
ICICIB22,S0_fund,ETF/index fund
ATAM,S0_turnover,Rs 1.0 cr
PNCINFRA,S1_red_close,-5.00% on the day
INDTERRAIN,S0_turnover,Rs 0.8 cr
LAL,S0_turnover,Rs 0.4 cr
HDFCNIMEG,S0_fund,ETF/index fund
MOALPHA50,S0_fund,ETF/index fund
RACE,S0_turnover,Rs 0.4 cr
VTMLTD,S0_turnover,Rs 1.8 cr
ANTELOPUS,S1_off_high,closed 3.4% off day high
SHIVALIK,S1_off_high,closed 4.0% off day high
MONEYBOXX,S0_turnover,Rs 0.1 cr
RRECL,S0_turnover,Rs 0.0 cr
CSM,S1_off_high,closed 5.3% off day high
ALMONDZ,S0_turnover,Rs 0.9 cr
ASIANTNE,S0_turnover,Rs 0.0 cr
KMCSHIL,S2_data,DATA UNAVAILABLE (21 bars)
PRASOLCHEM,S2_data,DATA UNAVAILABLE (1 bars)
IPL,S1_off_high,closed 9.5% off day high
GODAVARIB,S1_off_high,closed 8.5% off day high
EMUDHRA,S1_off_high,closed 5.1% off day high
SEJALLTD,S2_no_new_high,day high 649.25 < 52w high 1036.70
SAATVIKGL,S2_data,DATA UNAVAILABLE (243 bars)
KRYSTAL,S2_no_new_high,day high 668.50 < 52w high 696.00
PATANJALI,S2_no_new_high,day high 367.40 < 52w high 614.90
3MINDIA,S1_off_high,closed 4.8% off day high
CSBBANK,S2_no_new_high,day high 337.00 < 52w high 574.40
IOLCP,S2_no_new_high,day high 197.90 < 52w high 219.04
SUNSHINE,S2_data,DATA UNAVAILABLE (17 bars)
