symbol,stage,detail
AKSHARCHEM,S0_series,BE
ALEMBICLTD,S1_off_high,closed 7.6% off day high
ANTELOPUS,S1_off_high,closed 7.9% off day high
ANTHEM,S1_base_short,base 1d — rolling high
ASIANENE,S1_base_short,base 6d — rolling high
AVTNPL,S1_off_high,closed 5.1% off day high
AYMSYNTEX,S1_base_short,base 1d — rolling high
BHAGERIA,S0_series,BE
BIRLACABLE,S0_series,BE
BIRLAPREC,S0_turnover,Rs 5.0 cr
BLISSGVS,S0_series,BE
BMLL,S0_series,SM
BODALCHEM,S1_off_high,closed 6.1% off day high
CALSOFT,S0_series,BE
CAPLIPOINT,S1_base_short,base 2d — rolling high
CONFIPET,S1_off_high,closed 4.8% off day high
CYBERMEDIA,S0_turnover,Rs 0.8 cr
DAICHI,S1_base_short,base 1d — rolling high
DCBBANK,S1_red_close,-0.20% on the day
DSKULKARNI,S0_series,BE
E2ERAIL,S0_series,SM
ENTERO,S1_base_short,base 3d — rolling high
FORCAS,S0_series,ST
FRESHARA,S0_series,ST
GCSL,S1_base_short,base 1d — rolling high
GEOJITFSL,S1_off_high,closed 4.1% off day high
GIPCL,S1_base_short,base 1d — rolling high
GKSL,S1_base_short,base 1d — rolling high
GLOBAL,S1_red_close,-1.63% on the day
GYFTR,S1_red_close,-1.64% on the day
HALDYNGL,S0_series,BE
HINDOILEXP,S1_off_high,closed 4.3% off day high
HOACFOODS,S0_series,ST
IFCI,S1_red_close,-2.66% on the day
IMPEXFERRO,S0_series,BZ
INDOKEM,S1_off_high,closed 4.1% off day high
INNOVACAP,S1_base_short,base 1d — rolling high
IOLCP,S1_off_high,closed 3.3% off day high
IVC,S1_off_high,closed 8.2% off day high
IVP,S0_series,BE
JINDWORLD,S1_base_short,base 2d — rolling high
KAMDHENU,S0_series,BE
KHAITANLTD,S1_off_high,closed 7.3% off day high
KMEW,S1_base_short,base 6d — rolling high
KODYTECH,S0_series,ST
KOPRAN,S1_off_high,closed 3.6% off day high
KSHITIJ-RE,S0_series,BE
LADDERUP,S1_base_short,base 8d — rolling high
LANCORHOL,S1_base_short,base 6d — rolling high
