symbol,stage,detail
AAREYDRUGS,S1_base_short,base 1d — rolling high
ACMESOLAR,S1_red_close,-0.61% on the day
ACSTECH,S0_series,BE
ADROITINFO,S1_off_high,closed 3.4% off day high
AEGISLOG,S1_red_close,-4.78% on the day
AHCL,S1_base_short,base 1d — rolling high
AIMTRON,S0_series,SM
AKUMS,S1_red_close,-1.52% on the day
AMEYA,S0_series,SM
ANLON,S0_series,SM
APARINDS,S1_red_close,-3.46% on the day
APOORVA,S1_base_short,base 1d — rolling high
AUSTENG,S0_turnover,Rs 1.2 cr
BHADORA,S0_series,ST
BIKEWO,S0_series,ST
BLSE,S1_off_high,closed 3.9% off day high
BODALCHEM,S1_red_close,-2.00% on the day
CENTUM,S1_base_short,base 1d — rolling high
CPCAP,S1_red_close,-3.03% on the day
DICIND,S1_base_short,base 4d — rolling high
DOLPHIN,S1_off_high,closed 3.1% off day high
EDELWEISS,S1_base_short,base 1d — rolling high
ELANTAS,S1_red_close,-3.33% on the day
FEDDERSHOL,S1_red_close,-1.12% on the day
FILATEX,S1_red_close,-1.52% on the day
FONEBOX,S0_series,ST
GANDHITUBE,S1_off_high,closed 4.5% off day high
GCSL,S1_base_short,base 1d — rolling high
GFSTEELS,S0_series,BE
GJL,S0_series,ST
GKB,S0_turnover,Rs 0.6 cr
GLASSWALL,S1_base_short,base 1d — rolling high
GREENCHEF,S0_series,SM
HEALTHCARE,S0_fund,ETF/index fund
IL&FSENGG,S0_series,BZ
IMPEXFERRO,S0_series,BZ
INDOMIM,S1_base_short,base 1d — rolling high
INDORAMA,S1_red_close,-2.39% on the day
INNOVACAP,S1_base_short,base 7d — rolling high
IRISDOREME,S1_base_short,base 1d — rolling high
IVP,S0_series,BE
JASH,S1_off_high,closed 3.6% off day high
JSWINFRA,S1_base_short,base 4d — rolling high
KAMDHENU,S1_red_close,-2.28% on the day
KANOHAR,S1_base_short,base 5d — rolling high
KARAMTARA,S1_off_high,closed 4.2% off day high
KMCSHIL,S1_red_close,-0.28% on the day
KROSS,S1_red_close,-0.32% on the day
LAURUSLABS,S1_red_close,-0.55% on the day
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
MBECL,S0_series,BE
MOOILGAS,S0_fund,ETF/index fund
NRL,S0_series,BE
OAL,S1_base_short,base 1d — rolling high
OPTIFIN,S0_turnover,Rs 2.4 cr
OPTIVALUE,S0_series,ST
ORCHPHARMA,S1_off_high,closed 3.8% off day high
PANORAMA,S1_base_short,base 1d — rolling high
PATILAUTOM,S0_series,SM
PENTAGON,S0_series,ST
PHARMABEES,S0_fund,ETF/index fund
QMSMEDI,S0_series,BE
QUADPRO,S0_series,ST
QUINT,S0_series,BE
RATNAVEER,S1_red_close,-0.91% on the day
RAYMOND,S1_off_high,closed 6.4% off day high
ROLLT,S0_series,BE
ROSSTECH,S1_base_short,base 4d — rolling high
RSL,S1_red_close,-5.04% on the day
SAAKSHI,S0_series,ST
SAHASRA,S0_series,SM
SANSERA,S1_base_short,base 1d — rolling high
SEL,S0_series,SM
SHADOWFAX,S1_base_short,base 1d — rolling high
SHIVAUM,S1_base_short,base 7d — rolling high
SHREEDHAR,S0_series,ST
SIGMAADV,S0_series,BE
SILKFLEX,S0_series,SM
SMLMAH,S1_base_short,base 7d — rolling high
SMSPHARMA,S1_base_short,base 7d — rolling high
SPCON,S0_series,SM
SPECTRUM,S0_series,BE
SRHHYPOLTD,S1_red_close,-4.85% on the day
SSWL,S1_off_high,closed 6.1% off day high
STEAMHOUSE,S1_base_short,base 1d — rolling high
STEELCAS,S1_off_high,closed 3.3% off day high
STLNETWORK,S1_base_short,base 1d — rolling high
SUMEDHA,S1_off_high,closed 8.5% off day high
SWANDEF,S0_series,BE
SYRMA,S1_off_high,closed 3.9% off day high
TAALTECH,S1_off_high,closed 4.8% off day high
TALBROAUTO,S1_base_short,base 1d — rolling high
TANAA,S1_off_high,closed 3.8% off day high
TAURIAN,S0_series,ST
TBZ,S1_base_short,base 1d — rolling high
TEGA,S1_red_close,-2.80% on the day
TOYAMSL,S1_base_short,base 1d — rolling high
TRANSCOR,S1_off_high,closed 12.7% off day high
UNIMECH,S1_off_high,closed 7.1% off day high
VALIANTLAB,S0_series,BE
VARROC,S1_red_close,-1.09% on the day
WELCORP,S1_red_close,-0.64% on the day
WELSPUNLIV,S1_base_short,base 1d — rolling high
XTRANET,S1_red_close,-2.47% on the day
UNIONGOLD,S0_fund,ETF/index fund
3PLAND,S0_turnover,Rs 0.3 cr
MITCON,S0_turnover,Rs 0.6 cr
HGM,S0_turnover,Rs 0.3 cr
ADDIND,S0_turnover,Rs 0.0 cr
SINTERCOM,S0_turnover,Rs 0.3 cr
SSDL,S0_turnover,Rs 3.3 cr
MONEYBOXX,S0_turnover,Rs 3.0 cr
ARVEE,S1_off_high,closed 6.2% off day high
RHETAN,S1_red_close,-5.00% on the day
CRESTO,S0_turnover,Rs 0.4 cr
ANSALBU,S0_turnover,Rs 0.3 cr
ISFT,S0_turnover,Rs 3.9 cr
CREATIVEYE,S0_turnover,Rs 0.1 cr
NIBL,S0_turnover,Rs 0.4 cr
KIRANVYPAR,S2_data,DATA UNAVAILABLE (25 bars)
SGIL,S0_turnover,Rs 2.5 cr
SHUKRAPHAR,S2_data,DATA UNAVAILABLE (28 bars)
TECHNOCRAF,S2_data,DATA UNAVAILABLE (28 bars)
RHIM,S1_off_high,closed 4.7% off day high
TRANSRAILL,S2_no_new_high,day high 488.00 < 52w high 800.90
UNIECOM,S1_off_high,closed 4.6% off day high
PACEDIGITK,S2_data,DATA UNAVAILABLE (243 bars)
REGAAL,S2_no_new_high,day high 100.12 < 52w high 106.00
ITDC,S2_no_new_high,day high 723.70 < 52w high 822.00
GABRIEL,S2_no_new_high,day high 1495.00 < 52w high 1600.00
JAINREC,S2_data,DATA UNAVAILABLE (243 bars)
OPTIEMUS,S2_no_new_high,day high 708.90 < 52w high 713.00
RACE,S2_no_new_high,day high 119.98 < 52w high 246.00
CUBEXTUB,S2_no_new_high,day high 104.85 < 52w high 143.69
TCC,S2_data,DATA UNAVAILABLE (141 bars)
ARIHANTCAP,S2_no_new_high,day high 93.00 < 52w high 120.00
KLBRENG-B,S2_data,DATA UNAVAILABLE (25 bars)
