symbol,stage,detail
AAREYDRUGS,S1_base_short,base 7d — rolling high
ACSTECH,S0_series,BE
ALGOQUANT,S1_off_high,closed 3.0% off day high
AMEYA,S0_series,SM
APOORVA,S1_base_short,base 1d — rolling high
ARCIL,S1_red_close,-1.33% on the day
ARCL,S1_red_close,-5.00% on the day
DSKULKARNI,S0_series,BE
FILATEX,S1_base_short,base 2d — rolling high
FOSECOIND,S1_red_close,-1.69% on the day
FROG,S0_series,SM
GFSTEELS,S0_series,BE
GLASSWALL,S1_base_short,base 1d — rolling high
GLOBAL,S1_off_high,closed 3.1% off day high
HPTL,S0_series,SM
IL&FSENGG,S0_series,BZ
IMPEXFERRO,S0_series,BZ
INDOKEM,S1_off_high,closed 4.2% off day high
KANOHAR,S1_off_high,closed 6.9% off day high
KANORICHEM,S0_series,BE
KATARIA,S0_series,SM
KMCSHIL,S1_base_short,base 1d — rolling high
KROSS,S1_base_short,base 2d — rolling high
KSL,S1_off_high,closed 3.4% off day high
KSR,S1_red_close,-4.99% on the day
LCCPROJECT,S1_red_close,-10.00% on the day
LIQGRWBEES,S0_fund,ETF/index fund
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
MAHICKRA,S0_series,SM
MARC,S0_series,SM
MBECL,S0_series,BE
MONQ50,S0_fund,ETF/index fund
MRIL,S0_series,ST
NEOGEN,S1_off_high,closed 4.2% off day high
PAISALO,S1_off_high,closed 4.6% off day high
PRASOLCHEM,S1_base_short,base 1d — rolling high
QMSMEDI,S0_series,BE
QUADFUTURE,S1_off_high,closed 3.2% off day high
QUINT,S0_turnover,Rs 1.4 cr
RACLGEAR,S1_red_close,-0.76% on the day
RATNAVEER,S1_off_high,closed 5.9% off day high
RIR,S1_off_high,closed 4.2% off day high
ROLLT,S0_series,BE
ROSSTECH,S1_off_high,closed 5.3% off day high
SHAIVAL,S0_series,ST
SHAREINDIA,S1_base_short,base 7d — rolling high
SHREEDHAR,S0_series,ST
STLNETWORK,S1_base_short,base 1d — rolling high
SUMEDHA,S1_off_high,closed 5.2% off day high
TOYAMSL,S1_base_short,base 1d — rolling high
UNIVPHOTO,S0_series,BE
UTSSAV,S0_series,SM
VELJAN,S0_series,BE
VENUSPIPES,S1_base_short,base 6d — rolling high
VINOD,S0_series,ST
VSSL,S1_off_high,closed 5.1% off day high
WSTCSTPAPR,S1_off_high,closed 3.9% off day high
XTRANET,S1_base_short,base 7d — rolling high
KRSNAA,S1_red_close,-0.15% on the day
AWHCL,S1_off_high,closed 3.9% off day high
PNC,S0_turnover,Rs 0.3 cr
MEGASTAR,S0_turnover,Rs 1.5 cr
MSCIADD,S0_fund,ETF/index fund
RUSHIL,S0_turnover,Rs 4.7 cr
DUCON,S0_turnover,Rs 2.7 cr
ASTAR,S0_turnover,Rs 0.1 cr
MID150,S0_fund,ETF/index fund
BANKBETA,S0_fund,ETF/index fund
SAMBANDAM,S0_turnover,Rs 0.0 cr
ENTERO,S1_red_close,-4.03% on the day
LIQUIDBETA,S0_fund,ETF/index fund
EASTWEST,S0_turnover,Rs 0.0 cr
OILIETF,S0_fund,ETF/index fund
ISFT,S0_turnover,Rs 1.9 cr
SBGLP,S0_turnover,Rs 1.8 cr
KNAGRI,S0_turnover,Rs 0.3 cr
ASTEC,S1_off_high,closed 3.7% off day high
RMC,S0_turnover,Rs 3.9 cr
GEEKAYWIRE,S0_turnover,Rs 3.1 cr
TREL,S0_turnover,Rs 2.1 cr
CUBEXTUB,S0_turnover,Rs 2.0 cr
OPTIFIN,S0_turnover,Rs 0.1 cr
BHAGYANGR,S0_turnover,Rs 3.0 cr
KARAMTARA,S2_data,DATA UNAVAILABLE (1 bars)
KISSHT,S2_data,DATA UNAVAILABLE (95 bars)
MPIMANIPAL,S2_data,DATA UNAVAILABLE (1 bars)
RENTOMOJO,S2_data,DATA UNAVAILABLE (1 bars)
SOFTTECH,S0_turnover,Rs 0.9 cr
STEAMHOUSE,S2_data,DATA UNAVAILABLE (1 bars)
INDIACEM,S2_no_new_high,day high 359.40 < 52w high 485.80
GNFC,S2_no_new_high,day high 599.00 < 52w high 619.00
JISLJALEQS,S1_off_high,closed 3.7% off day high
SYRMA,S2_no_new_high,day high 1658.00 < 52w high 1660.00
MOTISONS,S1_off_high,closed 3.0% off day high
TEGA,S2_no_new_high,day high 1944.00 < 52w high 2125.00
AHCL,S2_no_new_high,day high 22.36 < 52w high 22.94
AXISCADES,S2_no_new_high,day high 1852.90 < 52w high 2211.00
