symbol,stage,detail
ACCENTMIC,S0_series,SM
ACSTECH,S0_series,BE
AEROENTER,S1_red_close,-2.07% on the day
AEROFLEX,S1_base_short,base 7d — rolling high
AKIKO,S0_series,SM
AKSHARCHEM,S0_series,BE
ANTELOPUS,S1_base_short,base 5d — rolling high
ANUHPHR,S1_off_high,closed 4.6% off day high
ARTEMISMED,S1_red_close,-0.15% on the day
ASHUTOSH,S0_series,ST
ASIANENE,S1_base_short,base 4d — rolling high
ASIANHOTNR,S1_off_high,closed 4.4% off day high
AYMSYNTEX,S1_base_short,base 5d — rolling high
BHAGERIA,S0_series,BE
BLISSGVS,S0_series,BE
BODALCHEM,S1_base_short,base 1d — rolling high
BOSS,S0_series,SM
CORDELIA,S1_red_close,-2.37% on the day
CORDSCABLE,S1_base_short,base 4d — rolling high
CRAFTSMAN,S1_base_short,base 4d — rolling high
CURIS,S0_series,SM
CYIENTDLM,S1_base_short,base 4d — rolling high
DCBBANK,S1_base_short,base 5d — rolling high
DEEPA,S1_red_close,-11.90% on the day
DEEPINDS,S1_base_short,base 1d — rolling high
DIVISLAB,S1_base_short,base 8d — rolling high
DPEL,S0_series,SM
DSKULKARNI,S0_series,BE
E2ERAIL,S0_series,SM
EDELWEISS,S1_base_short,base 4d — rolling high
ELANTAS,S1_base_short,base 1d — rolling high
ENERGYAXIS,S0_fund,ETF/index fund
ENTERO,S1_red_close,-2.02% on the day
ESDS,S1_base_short,base 1d — rolling high
EXICOM,S1_red_close,-1.81% on the day
FCL,S1_base_short,base 1d — rolling high
FLYSBS,S0_series,SM
GANESHBE,S0_series,BE
GFSTEELS,S1_base_short,base 1d — rolling high
GILT5YBEES,S0_fund,ETF/index fund
GKSL,S1_red_close,-0.73% on the day
GLOBAL,S1_base_short,base 4d — rolling high
HAMPTON,S1_off_high,closed 13.2% off day high
HINDOILEXP,S1_base_short,base 1d — rolling high
IGPL,S1_base_short,base 1d — rolling high
IMPEXFERRO,S0_series,BZ
INDSWFTLAB,S1_off_high,closed 3.1% off day high
IOLCP,S1_red_close,-1.00% on the day
IVP,S0_series,BE
JAYKAY-RE1,S0_series,BE
KABRAEXTRU,S1_base_short,base 1d — rolling high
KAMDHENU,S0_series,BE
KATARIA,S0_series,SM
KRN,S1_base_short,base 8d — rolling high
KSHINTL,S1_base_short,base 1d — rolling high
LAURUSLABS,S1_base_short,base 8d — rolling high
LENSKART,S1_base_short,base 1d — rolling high
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
LTGILTBEES,S0_fund,ETF/index fund
MAFANG,S0_fund,ETF/index fund
MANALIPETC,S1_off_high,closed 3.4% off day high
MANINDS,S1_red_close,-0.28% on the day
MARALOVER,S1_off_high,closed 4.2% off day high
MARC,S0_series,SM
MARKSANS,S1_red_close,-0.01% on the day
MASPTOP50,S0_fund,ETF/index fund
MBECL,S0_series,BE
MENNPIS,S1_base_short,base 1d — rolling high
MIDQ50ADD,S0_fund,ETF/index fund
MILKYMIST,S1_red_close,-0.11% on the day
MINALIND,S0_series,BE
MMP,S1_base_short,base 1d — rolling high
MOLDTECH,S0_series,BE
MOMETAL,S0_fund,ETF/index fund
MOMSBELIEF,S0_series,BE
MON100,S0_fund,ETF/index fund
MONOLITH,S0_series,SM
MONQ50,S0_fund,ETF/index fund
MOREPENLAB,S1_red_close,-1.65% on the day
MSTCLTD,S1_red_close,-1.80% on the day
MVELECTRO,S1_base_short,base 1d — rolling high
MVGJL,S1_red_close,-3.51% on the day
NITINSPIN,S1_base_short,base 5d — rolling high
NRAIL,S1_base_short,base 1d — rolling high
NRL,S0_series,BE
OAL,S1_base_short,base 1d — rolling high
ONIXSOLAR,S1_base_short,base 1d — rolling high
