symbol,stage,detail
ABSMARINE,S0_series,SM
AKIKO,S0_series,SM
AKSHARCHEM,S0_series,BE
ANTHEM,S1_red_close,-1.82% on the day
ARTEMISMED,S1_base_short,base 3d — rolling high
ASIANENE,S1_red_close,-0.76% on the day
BAHETI,S0_series,SM
BALAMINES,S1_base_short,base 2d — rolling high
BHAGERIA,S0_series,BE
BIRLACABLE,S0_series,BE
BIRLAPREC,S1_off_high,closed 4.0% off day high
BLISSGVS,S0_series,BE
BMLL,S0_series,SM
BODALCHEM,S1_base_short,base 1d — rolling high
BOSCH-HCIL,S1_base_short,base 1d — rolling high
CGCL,S1_base_short,base 1d — rolling high
CINELINE,S0_turnover,Rs 2.9 cr
CORDSCABLE,S1_off_high,closed 4.3% off day high
CRAFTSMAN,S1_base_short,base 4d — rolling high
CURIS,S0_series,SM
CYBERMEDIA,S1_off_high,closed 6.0% off day high
CYIENTDLM,S1_off_high,closed 4.3% off day high
DAICHI,S1_red_close,-1.80% on the day
DEEPINDS,S1_base_short,base 1d — rolling high
DICIND,S1_off_high,closed 4.0% off day high
DIFFNKG,S1_red_close,-0.17% on the day
EDELWEISS,S1_base_short,base 1d — rolling high
ENTERO,S1_red_close,-1.26% on the day
FROG,S0_series,ST
GCSL,S1_base_short,base 1d — rolling high
GLOBAL,S1_off_high,closed 4.3% off day high
GLOBALPET,S0_series,ST
HALDYNGL,S0_series,BE
HEALTHAXIS,S0_fund,ETF/index fund
HOACFOODS,S0_series,ST
ICDSLTD,S1_base_short,base 1d — rolling high
IFCI,S1_off_high,closed 5.0% off day high
IGPL,S1_base_short,base 3d — rolling high
IMPEXFERRO,S0_series,BZ
INNOVACAP,S1_base_short,base 1d — rolling high
INOXINDIA,S1_off_high,closed 3.2% off day high
IOLCP,S1_base_short,base 1d — rolling high
IRISDOREME,S1_base_short,base 1d — rolling high
JINDWORLD,S1_base_short,base 1d — rolling high
KAMDHENU,S0_series,BE
KANCOTEA,S1_red_close,-3.42% on the day
KMEW,S1_red_close,-3.66% on the day
KODYTECH,S0_series,ST
KOPRAN,S1_off_high,closed 4.0% off day high
KSHITIJ-RE,S0_series,BE
KTKBANK,S1_base_short,base 4d — rolling high
LALITHAA,S1_base_short,base 3d — rolling high
LANCORHOL,S1_base_short,base 1d — rolling high
LENSKART,S1_base_short,base 1d — rolling high
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
LUMINO,S1_off_high,closed 5.8% off day high
MANINDS,S1_red_close,-0.95% on the day
MBECL,S0_series,BE
MENONBE,S0_series,BE
MIDSMALL,S0_fund,ETF/index fund
MINALIND,S0_series,BE
MUKKA,S1_off_high,closed 3.5% off day high
NIF500BETA,S0_fund,ETF/index fund
NITIRAJ,S1_off_high,closed 9.2% off day high
OAL,S1_off_high,closed 3.0% off day high
OMAXE,S1_base_short,base 3d — rolling high
ONDOOR,S0_series,SM
OPTIFIN,S1_red_close,+0.00% on the day
ORIENTBELL,S1_base_short,base 1d — rolling high
PATILAUTOM,S0_series,SM
PCCL,S0_series,SM
PRABHA,S1_off_high,closed 9.1% off day high
PREMIERPOL,S1_base_short,base 7d — rolling high
PRIORITY,S0_series,BE
PTCIL,S1_red_close,-0.59% on the day
RBLBANK,S1_base_short,base 1d — rolling high
RBZJEWEL,S1_base_short,base 1d — rolling high
REDINGTON,S1_red_close,-0.31% on the day
ROLLT,S0_series,BE
RPEL,S1_red_close,-4.52% on the day
RSL,S1_base_short,base 3d — rolling high
RUBYMILLS,S0_series,BE
SAB,S1_base_short,base 10d — rolling high
SAHYADRI,S1_off_high,closed 3.7% off day high
SBCL,S1_red_close,-3.54% on the day
SEAMECLTD,S1_base_short,base 1d — rolling high
SETL,S1_base_short,base 1d — rolling high
SGRL,S1_base_short,base 3d — rolling high
SHANTIGEAR,S1_off_high,closed 3.4% off day high
SHETHJI,S0_series,SM
SHILPAMED,S1_base_short,base 1d — rolling high
SHUKRAPHAR,S1_red_close,-0.25% on the day
SILKFLEX,S0_series,SM
SIMPLXREA,S1_base_short,base 1d — rolling high
SOLARINDS,S1_red_close,-0.26% on the day
SRIKPRIND,S1_off_high,closed 7.1% off day high
SUDEEPPHRM,S1_base_short,base 1d — rolling high
SUNSHINE,S1_off_high,closed 6.9% off day high
SVGLOBAL,S0_turnover,Rs 4.8 cr
TBZ,S1_base_short,base 1d — rolling high
TGVSL,S1_off_high,closed 3.8% off day high
TIJARIA,S0_series,BE
TMB,S1_red_close,-0.79% on the day
TUTIALKA,S1_red_close,-1.23% on the day
USHAFIN,S0_series,SM
USHAMART,S1_red_close,-0.71% on the day
VASUPRADA,S1_base_short,base 1d — rolling high
VHLTD-RE1,S0_series,BE
VINDHYATEL,S1_red_close,-0.70% on the day
VISHNU,S1_off_high,closed 3.2% off day high
WELENT,S1_base_short,base 1d — rolling high
WELSPUNLIV,S1_base_short,base 1d — rolling high
WINDLAS,S1_base_short,base 1d — rolling high
WSTCSTPAPR,S1_red_close,-0.63% on the day
XTRANET,S1_base_short,base 2d — rolling high
LIQUIDBETA,S0_fund,ETF/index fund
GKB,S0_turnover,Rs 0.1 cr
NAGREEKEXP,S0_turnover,Rs 0.9 cr
CONSUMIETF,S0_fund,ETF/index fund
PKTEA,S0_turnover,Rs 0.5 cr
MSCIINDIA,S0_fund,ETF/index fund
MARALOVER,S0_turnover,Rs 2.0 cr
AMBICAAGAR,S0_turnover,Rs 1.4 cr
NBIFIN,S0_turnover,Rs 1.0 cr
MSL,S0_turnover,Rs 0.0 cr
AMARJOTHI,S0_turnover,Rs 0.2 cr
JAYNECOIND,S1_red_close,-10.11% on the day
SUVIDHAA,S0_turnover,Rs 0.2 cr
ZSARACOM,S0_turnover,Rs 0.2 cr
CURAA,S0_turnover,Rs 0.0 cr
JISLJALEQS,S1_off_high,closed 3.7% off day high
BURNPUR,S0_turnover,Rs 0.1 cr
ESDS,S2_data,DATA UNAVAILABLE (1 bars)
KSHINTL,S2_data,DATA UNAVAILABLE (177 bars)
ONIXSOLAR,S2_data,DATA UNAVAILABLE (14 bars)
SHREEJISPG,S2_data,DATA UNAVAILABLE (258 bars)
RESPONIND,S1_off_high,closed 12.1% off day high
PURVA,S2_no_new_high,day high 236.00 < 52w high 305.00
MASTERTR,S1_off_high,closed 6.6% off day high
HESTERBIO,S1_off_high,closed 5.3% off day high
HBLENGINE,S1_off_high,closed 3.9% off day high
BALAJITELE,S2_no_new_high,day high 95.70 < 52w high 141.32
KAVDEFENCE,S2_no_new_high,day high 67.38 < 52w high 162.87
RADHIKAJWE,S2_no_new_high,day high 85.00 < 52w high 99.65
PCJEWELLER,S2_no_new_high,day high 12.17 < 52w high 15.38
