symbol,stage,detail
ACCENTMIC,S0_series,SM
ACSTECH,S0_series,BE
ANTELOPUS,S1_off_high,closed 5.6% off day high
ANTHEM,S1_red_close,-1.44% on the day
ANUHPHR,S1_base_short,base 1d — rolling high
ARTEMISMED,S1_base_short,base 1d — rolling high
ARVIND,S1_red_close,-2.13% on the day
ASHUTOSH,S0_series,ST
AXTEL,S1_off_high,closed 4.7% off day high
BHAGERIA,S0_series,BE
BODALCHEM,S1_red_close,-5.00% on the day
BOSS,S0_series,SM
BULKCORP,S0_series,ST
CENTUM,S1_red_close,-1.44% on the day
CFEL,S0_turnover,Rs 0.6 cr
CHEMBOND,S1_off_high,closed 6.5% off day high
CONFIPET,S1_base_short,base 6d — rolling high
CORDSCABLE,S1_red_close,-2.62% on the day
CRAFTSMAN,S1_base_short,base 1d — rolling high
CURIS,S0_series,SM
DCG,S0_series,SM
DEEPINDS,S1_red_close,-2.93% on the day
DIVISLAB,S1_red_close,-0.91% on the day
DPEL,S0_series,SM
ESDS,S1_base_short,base 1d — rolling high
ETL,S0_series,SM
FCL,S1_red_close,-0.41% on the day
FLYSBS,S0_series,SM
GFSTEELS,S1_base_short,base 1d — rolling high
GKB,S1_red_close,-7.17% on the day
GKSL,S1_base_short,base 1d — rolling high
GLOBALPET,S0_series,SM
GMMPFAUDLR,S1_off_high,closed 3.5% off day high
GRAPHITE,S1_off_high,closed 3.6% off day high
HARSHA,S1_red_close,-3.38% on the day
HINDOILEXP,S1_base_short,base 1d — rolling high
IDEA,S1_base_short,base 2d — rolling high
IMPEXFERRO,S0_series,BZ
INDORAMA,S1_off_high,closed 3.6% off day high
INDSWFTLAB,S1_red_close,-0.61% on the day
INFINIUM,S0_series,SM
INNOVACAP,S1_base_short,base 5d — rolling high
IVP,S0_series,BE
JAYKAY-RE1,S0_series,BE
KABRAEXTRU,S1_base_short,base 1d — rolling high
KANORICHEM,S0_series,BE
KATARIA,S0_series,SM
KPL,S1_red_close,-2.50% on the day
KRN,S1_red_close,-3.69% on the day
KSHINTL,S1_red_close,-2.36% on the day
LADDERUP,S0_turnover,Rs 0.1 cr
LALITHAA,S1_base_short,base 2d — rolling high
LAURUSLABS,S1_red_close,-0.51% on the day
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
MAFANG,S0_fund,ETF/index fund
MASPTOP50,S0_fund,ETF/index fund
MBECL,S0_series,BE
MEDICAPQ,S0_turnover,Rs 0.3 cr
MODEFENCE,S0_fund,ETF/index fund
MON100,S0_fund,ETF/index fund
MONOLITH,S0_series,SM
MONQ50,S0_fund,ETF/index fund
MVELECTRO,S1_off_high,closed 3.8% off day high
NEULANDLAB,S1_red_close,-3.52% on the day
NOVARTIND,S1_base_short,base 1d — rolling high
NRAIL,S1_red_close,-4.86% on the day
OAL,S1_base_short,base 1d — rolling high
OBSCP,S0_series,SM
ONIXSOLAR,S1_base_short,base 1d — rolling high
PAISALO,S1_base_short,base 2d — rolling high
PARTH,S0_series,SM
PATILAUTOM,S0_series,SM
PENTAGON,S0_series,SM
PHARMABEES,S0_fund,ETF/index fund
PIRAMALFIN,S1_base_short,base 9d — rolling high
PKTEA,S1_base_short,base 1d — rolling high
PRABHA,S1_red_close,-0.61% on the day
QLINE,S0_series,SM
RBLBANK,S1_red_close,-0.60% on the day
REDINGTON,S1_base_short,base 2d — rolling high
RISHABH,S1_off_high,closed 4.1% off day high
ROLLT,S0_series,BE
ROSSTECH,S1_red_close,-2.67% on the day
RSL,S1_base_short,base 1d — rolling high
SAAKSHI,S0_series,ST
SAILIFE,S1_base_short,base 1d — rolling high
SANSERA,S1_base_short,base 1d — rolling high
SBC,S1_base_short,base 2d — rolling high
SETL,S1_base_short,base 2d — rolling high
